# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	0.00000003
0.08005538	-0.00000002
0.11341179	-0.00000007
0.14676820	0.00000022
0.18012461	0.00000003
0.21348102	0.00000037
0.24683743	0.00000010
0.28019384	-0.00000035
0.31355025	-0.00000068
0.34690666	-0.00000291
0.38026307	-0.00000480
0.41361948	-0.00000075
0.44697589	-0.00000534
0.48033230	-0.00000283
0.51368871	0.00000433
0.54704512	-0.00000047
0.58040153	-0.00000277
0.61375794	0.00000128
0.64711434	0.00000234
0.68047075	-0.00000359
0.71382716	-0.00000135
0.74718357	0.00001039
0.78053998	0.00000119
0.81389639	-0.00000887
0.84725280	-0.00001454
0.88060921	-0.00000156
0.91396562	0.00000587
0.94732203	0.00000850
0.98067844	-0.00000833
1.01403485	-0.00001063
1.04739126	-0.00003137
1.08074767	-0.00004113
1.11410408	-0.00003122
1.14746049	-0.00001233
1.18081690	-0.00002311
1.21417331	0.00000699
1.24752972	0.00000429
1.28088613	0.00002646
1.31424254	-0.00000122
1.34759894	0.00000760
1.38095535	-0.00000849
1.41431176	-0.00003515
1.44766817	-0.00003358
1.48102458	-0.00003847
1.51438099	0.00001540
1.54773740	-0.00006898
1.58109381	-0.00013139
1.61445022	-0.00008698
1.64780663	-0.00001502
1.68116304	-0.00001169
1.71451945	-0.00003174
1.74787586	-0.00003314
1.78123227	0.00002905
1.81458868	0.00002511
1.84794509	-0.00011715
1.88130150	-0.00017890
1.91465791	-0.00008665
1.94801432	-0.00001938
1.98137073	-0.00007783
2.01472713	-0.00012225
2.04808354	-0.00014836
2.08143995	-0.00002750
2.11479636	-0.00002875
2.14815277	-0.00005483
2.18150918	-0.00011277
2.21486559	-0.00009501
2.24822200	-0.00006338
2.28157841	0.00005250
2.31493482	-0.00004911
2.34829123	-0.00003300
2.38164764	-0.00013380
2.41500405	-0.00004580
2.44836046	0.00000341
2.48171687	0.00005689
2.51507328	0.00000966
2.54842969	-0.00002718
2.58178610	-0.00000771
2.61514251	-0.00008061
