# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	-0.00000003
0.08005538	-0.00000004
0.11341179	0.00000008
0.14676820	0.00000002
0.18012461	0.00000003
0.21348102	0.00000007
0.24683743	0.00000123
0.28019384	0.00000104
0.31355025	0.00000061
0.34690666	-0.00000078
0.38026307	-0.00000006
0.41361948	0.00000148
0.44697589	0.00000535
0.48033230	-0.00000584
0.51368871	0.00000046
0.54704512	0.00000673
0.58040153	0.00000130
0.61375794	-0.00000563
0.64711434	-0.00000131
0.68047075	-0.00000219
0.71382716	0.00000424
0.74718357	0.00000018
0.78053998	0.00000603
0.81389639	0.00000061
0.84725280	0.00001306
0.88060921	0.00000516
0.91396562	-0.00000364
0.94732203	0.00000208
0.98067844	0.00002102
1.01403485	-0.00002638
1.04739126	-0.00000943
1.08074767	-0.00001493
1.11410408	-0.00001112
1.14746049	-0.00000050
1.18081690	0.00002945
1.21417331	0.00004172
1.24752972	0.00000139
1.28088613	0.00000117
1.31424254	-0.00001784
1.34759894	-0.00003031
1.38095535	-0.00006799
1.41431176	-0.00003918
1.44766817	0.00001072
1.48102458	0.00000973
1.51438099	0.00006930
1.54773740	0.00006572
1.58109381	0.00003169
1.61445022	-0.00001603
1.64780663	-0.00001078
1.68116304	-0.00004871
1.71451945	-0.00007764
1.74787586	-0.00002262
1.78123227	0.00002549
1.81458868	-0.00002401
1.84794509	-0.00003875
1.88130150	-0.00002301
1.91465791	-0.00002660
1.94801432	0.00002028
1.98137073	0.00006452
2.01472713	-0.00004762
2.04808354	0.00004755
2.08143995	0.00002508
2.11479636	0.00004814
2.14815277	0.00003927
2.18150918	0.00009379
2.21486559	0.00004459
2.24822200	-0.00001784
2.28157841	-0.00001102
2.31493482	0.00006715
2.34829123	0.00006923
2.38164764	0.00004931
2.41500405	0.00006226
2.44836046	0.00009230
2.48171687	-0.00005488
2.51507328	-0.00003335
2.54842969	0.00018217
2.58178610	0.00019030
2.61514251	-0.00005471
2.64849892	0.00010892
2.68185533	0.00016646
