# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	0.00000001
0.08005538	0.00000004
0.11341179	0.00000002
0.14676820	-0.00000002
0.18012461	-0.00000011
0.21348102	0.00000063
0.24683743	-0.00000099
0.28019384	-0.00000103
0.31355025	-0.00000063
0.34690666	-0.00000086
0.38026307	-0.00000338
0.41361948	-0.00000513
0.44697589	-0.00000170
0.48033230	0.00000046
0.51368871	-0.00000575
0.54704512	-0.00000976
0.58040153	-0.00000581
0.61375794	-0.00000404
0.64711434	-0.00000467
0.68047075	-0.00000480
0.71382716	-0.00000197
0.74718357	-0.00001752
0.78053998	0.00000101
0.81389639	0.00002248
0.84725280	0.00002735
0.88060921	0.00001306
0.91396562	0.00001415
0.94732203	-0.00000524
0.98067844	-0.00001715
1.01403485	0.00001668
1.04739126	-0.00002754
1.08074767	-0.00001099
1.11410408	0.00002640
1.14746049	0.00003514
1.18081690	0.00001710
1.21417331	-0.00001153
1.24752972	-0.00003390
1.28088613	-0.00001485
1.31424254	-0.00001096
1.34759894	0.00002671
1.38095535	0.00003685
1.41431176	0.00002471
1.44766817	0.00002287
1.48102458	0.00000251
1.51438099	0.00002594
1.54773740	0.00001531
1.58109381	0.00005257
1.61445022	0.00008590
1.64780663	0.00004035
1.68116304	-0.00002922
1.71451945	-0.00004252
1.74787586	-0.00006273
1.78123227	-0.00004516
1.81458868	-0.00004017
1.84794509	-0.00000577
1.88130150	-0.00001750
1.91465791	0.00001689
1.94801432	-0.00000537
1.98137073	-0.00000573
2.01472713	-0.00002433
2.04808354	0.00002025
2.08143995	0.00000780
2.11479636	0.00007498
2.14815277	0.00006862
2.18150918	0.00006299
2.21486559	0.00003006
2.24822200	-0.00008108
2.28157841	0.00000319
2.31493482	0.00005737
2.34829123	0.00001930
2.38164764	0.00007833
2.41500405	0.00017545
2.44836046	0.00013335
2.48171687	0.00003712
2.51507328	-0.00007684
2.54842969	-0.00003929
2.58178610	0.00010944
2.61514251	-0.00007800
2.64849892	0.00002686
2.68185533	-0.00020717
2.71521173	-0.00015842
2.74856814	0.00000182
2.78192455	0.00011575
2.81528096	0.00013514
2.84863737	0.00009404
2.88199378	0.00011908
2.91535019	-0.00003548
2.94870660	0.00014353
2.98206301	0.00005696
3.01541942	-0.00009990
3.04877583	0.00000588
3.08213224	0.00021768
3.11548865	-0.00000734
3.14884506	0.00007216
3.18220147	0.00009430
3.21555788	0.00016020
3.24891429	0.00027396
3.28227070	0.00038027
3.31562711	0.00022836
3.34898352	0.00010269
3.38233993	0.00017934
3.41569633	0.00017267
3.44905274	0.00003919
3.48240915	0.00003728
3.51576556	0.00012225
3.54912197	0.00015694
3.58247838	-0.00019235
3.61583479	0.00007013
3.64919120	0.00017010
3.68254761	0.00020049
3.71590402	0.00032630
3.74926043	-0.00002067
3.78261684	-0.00018749
3.81597325	0.00002698
3.84932966	-0.00025519
3.88268607	-0.00017956
3.91604248	0.00013092
3.94939889	0.00020578
3.98275530	0.00030654
4.01611171	0.00003202
4.04946812	-0.00031075
4.08282453	-0.00013148
4.11618093	-0.00011133
4.14953734	-0.00009206
4.18289375	-0.00018115
4.21625016	0.00043774
4.24960657	0.00000428
4.28296298	0.00018328
4.31631939	-0.00006827
4.34967580	-0.00017348
4.38303221	0.00028947
4.41638862	0.00023479
4.44974503	-0.00026160
4.48310144	-0.00024773
4.51645785	-0.00048189
4.54981426	0.00019320
4.58317067	0.00065178
4.61652708	0.00013869
4.64988349	-0.00012751
4.68323990	-0.00007659
4.71659631	0.00012482
4.74995272	-0.00031752
4.78330913	-0.00007734
4.81666553	0.00011326
4.85002194	0.00025269
4.88337835	-0.00001003
4.91673476	-0.00021190
4.95009117	-0.00030204
4.98344758	-0.00007657
5.01680399	-0.00069150
5.05016040	-0.00007670
5.08351681	-0.00012849
5.11687322	0.00012375
5.15022963	-0.00024113
5.18358604	-0.00021911
5.21694245	-0.00017727
5.25029886	-0.00016540
5.28365527	0.00013373
5.31701168	0.00003270
5.35036809	-0.00041380
5.38372450	-0.00026972
5.41708091	0.00036293
5.45043732	-0.00011487
5.48379373	-0.00000845
5.51715013	0.00022708
5.55050654	0.00040342
5.58386295	0.00015050
5.61721936	0.00000886
5.65057577	0.00021580
5.68393218	0.00059970
5.71728859	0.00024490
5.75064500	0.00002730
5.78400141	-0.00003109
5.81735782	-0.00023780
5.85071423	-0.00073460
5.88407064	-0.00027318
5.91742705	-0.00015974
5.95078346	-0.00078202
5.98413987	-0.00034590
6.01749628	0.00009362
6.05085269	0.00014080
6.08420910	0.00047719
6.11756551	-0.00058153
6.15092192	0.00019415
6.18427832	0.00027424
6.21763473	-0.00051678
6.25099114	0.00011363
6.28434755	0.00121368
6.31770396	0.00022713
6.35106037	0.00062145
6.38441678	0.00065864
6.41777319	0.00080450
6.45112960	0.00033203
6.48448601	0.00052599
6.51784242	0.00049109
6.55119883	0.00037512
6.58455524	0.00006309
6.61791165	0.00041703
6.65126806	0.00031205
6.68462447	0.00053724
6.71798088	0.00011715
6.75133729	-0.00000912
6.78469370	0.00078793
6.81805011	0.00084565
6.85140652	0.00008046
6.88476292	0.00076727
6.91811933	0.00041178
6.95147574	-0.00012641
6.98483215	-0.00027893
7.01818856	0.00020436
7.05154497	0.00012264
7.08490138	0.00009137
7.11825779	0.00079647
7.15161420	-0.00019202
7.18497061	0.00061970
7.21832702	0.00009942
7.25168343	-0.00048375
7.28503984	-0.00084090
7.31839625	-0.00140339
7.35175266	-0.00026483
7.38510907	0.00045684
7.41846548	0.00080444
7.45182189	0.00075574
7.48517830	0.00054267
7.51853471	0.00060108
7.55189112	0.00111432
7.58524752	0.00025158
7.61860393	0.00000445
7.65196034	0.00020208
7.68531675	-0.00083726
7.71867316	-0.00015221
7.75202957	0.00079602
7.78538598	0.00119176
7.81874239	0.00045304
7.85209880	0.00034495
7.88545521	-0.00002482
7.91881162	-0.00110781
7.95216803	0.00086542
7.98552444	0.00016008
8.01888085	-0.00014193
8.05223726	-0.00013338
8.08559367	0.00075177
8.11895008	0.00066290
8.15230649	0.00017263
8.18566290	-0.00015366
8.21901931	0.00074473
8.25237572	-0.00114608
8.28573212	0.00057484
8.31908853	0.00124236
8.35244494	-0.00006615
8.38580135	0.00000352
8.41915776	0.00040635
8.45251417	0.00032933
8.48587058	0.00000577
8.51922699	-0.00015267
8.55258340	0.00016052
8.58593981	0.00067026
8.61929622	0.00002352
8.65265263	-0.00045986
8.68600904	-0.00002270
8.71936545	0.00062297
8.75272186	-0.00003697
8.78607827	-0.00007126
8.81943468	0.00071022
8.85279109	0.00129320
8.88614750	0.00087714
8.91950391	-0.00030984
8.95286032	-0.00009364
8.98621672	0.00090299
9.01957313	0.00034025
9.05292954	0.00004717
9.08628595	0.00016918
9.11964236	0.00053455
9.15299877	0.00074595
9.18635518	0.00082409
9.21971159	-0.00001661
9.25306800	-0.00012416
9.28642441	0.00084802
9.31978082	0.00065138
9.35313723	0.00003230
9.38649364	0.00076216
9.41985005	0.00173352
9.45320646	0.00007737
9.48656287	-0.00132932
9.51991928	-0.00011217
9.55327569	0.00168485
9.58663210	0.00069097
9.61998851	0.00097213
9.65334492	0.00077267
9.68670132	0.00081355
9.72005773	-0.00021273
9.75341414	-0.00025394
9.78677055	0.00071325
9.82012696	0.00033744
9.85348337	0.00075002
9.88683978	-0.00021824
9.92019619	-0.00055384
9.95355260	0.00100941
9.98690901	0.00136615
10.02026542	0.00095339
10.05362183	-0.00002253
10.08697824	0.00036840
10.12033465	0.00050831
10.15369106	-0.00038503
10.18704747	-0.00016565
10.22040388	0.00035414
10.25376029	0.00043946
10.28711670	0.00022358
10.32047311	0.00027667
10.35382951	0.00086522
10.38718592	0.00055090
10.42054233	0.00101253
10.45389874	0.00138325
10.48725515	0.00085831
10.52061156	0.00082423
10.55396797	0.00087177
10.58732438	0.00106464
10.62068079	0.00005892
10.65403720	0.00108070
10.68739361	0.00075006
10.72075002	0.00124885
10.75410643	0.00140272
10.78746284	0.00069181
10.82081925	0.00038644
10.85417566	0.00047509
10.88753207	-0.00031307
10.92088848	-0.00066000
10.95424489	0.00029960
10.98760130	0.00029903
11.02095771	-0.00001461
11.05431411	-0.00014482
11.08767052	-0.00031701
11.12102693	-0.00065669
11.15438334	-0.00044903
11.18773975	0.00024658
11.22109616	0.00041122
11.25445257	0.00040423
11.28780898	-0.00011701
11.32116539	0.00016901
11.35452180	0.00044635
11.38787821	0.00010019
11.42123462	0.00015969
11.45459103	0.00016553
11.48794744	0.00058584
11.52130385	-0.00047791
11.55466026	-0.00164314
11.58801667	-0.00136586
11.62137308	-0.00042209
11.65472949	-0.00028215
11.68808590	-0.00102664
11.72144231	0.00028124
11.75479871	0.00017681
11.78815512	-0.00081045
11.82151153	-0.00084927
11.85486794	-0.00069663
11.88822435	-0.00053378
11.92158076	-0.00046045
11.95493717	-0.00143567
11.98829358	0.00003891
12.02164999	-0.00135277
12.05500640	-0.00144450
12.08836281	-0.00076221
12.12171922	-0.00175662
12.15507563	-0.00201303
12.18843204	-0.00175947
12.22178845	-0.00032049
12.25514486	-0.00163448
12.28850127	-0.00205132
12.32185768	-0.00116166
12.35521409	-0.00059751
12.38857050	-0.00130527
12.42192691	-0.00261864
12.45528331	-0.00318084
12.48863972	-0.00172645
12.52199613	-0.00275193
12.55535254	-0.00259882
12.58870895	-0.00256242
12.62206536	-0.00346794
12.65542177	-0.00307064
