# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	-0.00000001
0.08005538	-0.00000000
0.11341179	0.00000015
0.14676820	0.00000035
0.18012461	-0.00000032
0.21348102	0.00000028
0.24683743	0.00000030
0.28019384	-0.00000062
0.31355025	-0.00000066
0.34690666	0.00000051
0.38026307	0.00000202
0.41361948	0.00000247
0.44697589	0.00000236
0.48033230	0.00000022
0.51368871	0.00000072
0.54704512	-0.00000759
0.58040153	-0.00001248
0.61375794	-0.00000862
0.64711434	-0.00000385
0.68047075	-0.00000034
0.71382716	0.00000765
0.74718357	0.00000339
0.78053998	0.00001114
0.81389639	-0.00000248
0.84725280	0.00000172
0.88060921	0.00001023
0.91396562	-0.00000206
0.94732203	-0.00000600
0.98067844	0.00001549
1.01403485	0.00000213
1.04739126	0.00004688
1.08074767	0.00001195
1.11410408	-0.00000155
1.14746049	0.00000087
1.18081690	0.00000264
1.21417331	-0.00000439
1.24752972	-0.00000080
1.28088613	-0.00001269
1.31424254	-0.00004166
1.34759894	-0.00000936
1.38095535	0.00003526
1.41431176	-0.00001249
1.44766817	-0.00002950
1.48102458	0.00002495
1.51438099	0.00002466
1.54773740	-0.00003917
1.58109381	0.00002340
1.61445022	-0.00007096
1.64780663	-0.00003851
1.68116304	0.00006325
1.71451945	0.00003581
1.74787586	0.00000456
1.78123227	-0.00002337
1.81458868	-0.00003636
1.84794509	0.00007357
1.88130150	0.00003079
1.91465791	0.00000318
1.94801432	-0.00000846
1.98137073	-0.00000654
2.01472713	0.00005098
2.04808354	0.00001290
2.08143995	0.00002932
2.11479636	0.00003513
2.14815277	0.00014586
2.18150918	0.00015211
2.21486559	0.00017840
2.24822200	0.00013693
2.28157841	-0.00010496
2.31493482	-0.00016502
2.34829123	-0.00000390
2.38164764	-0.00008174
2.41500405	0.00007052
2.44836046	0.00011732
2.48171687	0.00001279
2.51507328	0.00008323
2.54842969	0.00013491
2.58178610	0.00006950
2.61514251	-0.00013959
2.64849892	0.00005265
2.68185533	0.00012707
2.71521173	0.00000189
2.74856814	-0.00018655
2.78192455	-0.00012918
2.81528096	0.00002713
2.84863737	0.00011041
2.88199378	-0.00003408
2.91535019	-0.00000529
2.94870660	-0.00001922
2.98206301	0.00000697
3.01541942	-0.00003697
3.04877583	-0.00010358
3.08213224	-0.00011348
3.11548865	-0.00006870
3.14884506	-0.00001026
3.18220147	-0.00018647
3.21555788	-0.00003770
3.24891429	0.00004332
3.28227070	-0.00009078
3.31562711	-0.00019847
3.34898352	-0.00008705
3.38233993	-0.00000644
3.41569633	0.00021911
3.44905274	0.00007385
3.48240915	-0.00006276
3.51576556	-0.00026286
3.54912197	0.00000471
3.58247838	0.00017640
3.61583479	-0.00025678
3.64919120	-0.00021549
3.68254761	-0.00001419
3.71590402	0.00004259
3.74926043	-0.00002913
3.78261684	0.00015755
3.81597325	-0.00015065
3.84932966	-0.00011710
3.88268607	0.00011273
3.91604248	0.00003165
3.94939889	-0.00014280
3.98275530	-0.00024646
4.01611171	-0.00018155
4.04946812	-0.00027097
4.08282453	-0.00008430
4.11618093	0.00040595
4.14953734	-0.00003567
4.18289375	-0.00015108
4.21625016	0.00011319
4.24960657	-0.00020662
4.28296298	-0.00001434
4.31631939	0.00029978
4.34967580	-0.00013889
4.38303221	-0.00043970
4.41638862	-0.00028082
4.44974503	0.00037830
4.48310144	0.00012282
4.51645785	0.00044240
4.54981426	-0.00053714
4.58317067	-0.00066711
4.61652708	-0.00005075
4.64988349	0.00038872
4.68323990	0.00046691
4.71659631	0.00033062
4.74995272	-0.00018299
4.78330913	0.00015970
4.81666553	0.00006330
4.85002194	0.00040361
4.88337835	0.00036734
4.91673476	0.00001804
4.95009117	-0.00000006
4.98344758	0.00001214
5.01680399	-0.00016402
5.05016040	0.00032939
5.08351681	-0.00005751
5.11687322	0.00051916
5.15022963	0.00089008
5.18358604	0.00026968
5.21694245	0.00061785
5.25029886	0.00022707
5.28365527	-0.00017268
5.31701168	0.00006952
5.35036809	-0.00068038
5.38372450	-0.00067121
5.41708091	0.00047710
5.45043732	0.00033413
5.48379373	0.00039114
5.51715013	0.00000505
5.55050654	0.00041668
5.58386295	0.00030425
5.61721936	-0.00044033
5.65057577	-0.00060570
5.68393218	0.00012933
5.71728859	0.00011631
5.75064500	0.00010434
5.78400141	-0.00011941
5.81735782	0.00024007
5.85071423	0.00076483
5.88407064	-0.00002157
5.91742705	0.00004195
5.95078346	0.00070370
5.98413987	-0.00008973
6.01749628	-0.00030669
6.05085269	0.00040425
6.08420910	-0.00002357
6.11756551	-0.00012871
6.15092192	-0.00015854
6.18427832	-0.00024723
6.21763473	-0.00017444
6.25099114	0.00084774
6.28434755	0.00115813
6.31770396	-0.00009912
6.35106037	0.00003692
6.38441678	-0.00036760
6.41777319	-0.00038796
6.45112960	-0.00032876
6.48448601	0.00020442
6.51784242	0.00039354
6.55119883	-0.00022678
6.58455524	-0.00029997
6.61791165	-0.00060509
6.65126806	0.00017626
6.68462447	-0.00014397
6.71798088	0.00029698
6.75133729	0.00003967
6.78469370	-0.00038491
6.81805011	-0.00020883
6.85140652	0.00003258
6.88476292	0.00049902
6.91811933	0.00065993
6.95147574	0.00046197
6.98483215	0.00050107
7.01818856	0.00116653
7.05154497	0.00032280
7.08490138	-0.00032462
7.11825779	0.00049477
7.15161420	0.00074087
7.18497061	0.00014116
7.21832702	-0.00007504
7.25168343	0.00025460
7.28503984	0.00066873
7.31839625	-0.00024463
7.35175266	-0.00035661
7.38510907	0.00048303
7.41846548	-0.00019226
7.45182189	0.00007684
7.48517830	-0.00027892
7.51853471	-0.00031168
7.55189112	-0.00038371
7.58524752	-0.00030336
7.61860393	-0.00067002
7.65196034	0.00014508
7.68531675	0.00006882
7.71867316	0.00018467
7.75202957	-0.00046941
7.78538598	-0.00038119
7.81874239	0.00045236
7.85209880	0.00100622
7.88545521	0.00148773
7.91881162	0.00120449
7.95216803	-0.00018214
7.98552444	-0.00068863
8.01888085	-0.00002811
8.05223726	0.00051206
8.08559367	0.00003426
8.11895008	0.00008877
8.15230649	0.00088832
8.18566290	0.00066988
8.21901931	-0.00097160
8.25237572	-0.00006925
8.28573212	0.00058948
8.31908853	0.00079651
8.35244494	-0.00019251
8.38580135	-0.00019283
8.41915776	-0.00009758
8.45251417	0.00036779
8.48587058	-0.00009190
8.51922699	0.00005256
8.55258340	0.00082057
8.58593981	0.00025271
8.61929622	-0.00068868
8.65265263	0.00012533
8.68600904	0.00016669
8.71936545	0.00023344
8.75272186	-0.00050081
8.78607827	0.00031377
8.81943468	0.00023319
8.85279109	0.00107387
8.88614750	0.00104490
8.91950391	-0.00035934
8.95286032	-0.00187481
8.98621672	-0.00059225
9.01957313	0.00090645
9.05292954	0.00086632
9.08628595	-0.00038574
9.11964236	-0.00003621
9.15299877	0.00115795
9.18635518	0.00031323
9.21971159	-0.00001363
9.25306800	0.00116656
9.28642441	0.00117131
9.31978082	0.00131363
9.35313723	-0.00142469
9.38649364	-0.00123228
9.41985005	0.00174460
9.45320646	0.00105935
9.48656287	-0.00050077
9.51991928	-0.00000655
9.55327569	0.00120271
9.58663210	0.00100051
9.61998851	-0.00073952
9.65334492	-0.00056078
9.68670132	0.00109410
9.72005773	0.00076334
9.75341414	-0.00013522
9.78677055	-0.00017842
9.82012696	0.00066604
9.85348337	-0.00059628
9.88683978	-0.00052449
9.92019619	-0.00002025
9.95355260	0.00031419
9.98690901	-0.00025969
10.02026542	-0.00050746
10.05362183	-0.00028867
10.08697824	0.00107287
10.12033465	0.00102959
10.15369106	0.00065798
10.18704747	-0.00046330
10.22040388	-0.00030805
10.25376029	-0.00045548
10.28711670	-0.00060649
10.32047311	0.00030814
10.35382951	0.00034280
10.38718592	0.00163327
10.42054233	0.00109616
10.45389874	0.00018661
10.48725515	0.00016780
10.52061156	0.00093744
10.55396797	0.00080050
10.58732438	-0.00086243
10.62068079	-0.00030968
10.65403720	-0.00148645
10.68739361	0.00057922
10.72075002	0.00107334
10.75410643	-0.00026167
10.78746284	0.00018089
10.82081925	-0.00063852
10.85417566	-0.00141503
10.88753207	-0.00032190
10.92088848	-0.00072906
10.95424489	-0.00072622
10.98760130	-0.00001143
11.02095771	-0.00021147
11.05431411	-0.00018845
11.08767052	0.00007213
11.12102693	0.00031964
11.15438334	0.00057958
11.18773975	-0.00024499
11.22109616	0.00003630
11.25445257	0.00016316
11.28780898	-0.00005658
11.32116539	0.00010772
11.35452180	-0.00018330
11.38787821	-0.00077068
11.42123462	-0.00053194
11.45459103	-0.00079089
11.48794744	-0.00048198
11.52130385	0.00013386
11.55466026	-0.00028698
11.58801667	0.00027973
11.62137308	0.00007777
11.65472949	-0.00025868
11.68808590	-0.00006176
11.72144231	0.00013710
11.75479871	-0.00051253
11.78815512	0.00005894
11.82151153	0.00113808
11.85486794	0.00138988
11.88822435	0.00024835
11.92158076	-0.00083217
11.95493717	-0.00039132
11.98829358	-0.00036980
12.02164999	0.00005386
12.05500640	-0.00000953
12.08836281	-0.00077460
12.12171922	-0.00069774
12.15507563	0.00021760
12.18843204	0.00065141
12.22178845	0.00040871
12.25514486	-0.00091695
12.28850127	-0.00015058
12.32185768	-0.00054232
12.35521409	-0.00025099
12.38857050	0.00016287
12.42192691	-0.00015305
12.45528331	-0.00101523
12.48863972	-0.00063126
12.52199613	-0.00057173
12.55535254	-0.00062630
12.58870895	0.00051455
