# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	0.00000001
0.08005538	-0.00000004
0.11341179	-0.00000006
0.14676820	0.00000027
0.18012461	-0.00000027
0.21348102	-0.00000089
0.24683743	-0.00000035
0.28019384	0.00000151
0.31355025	-0.00000010
0.34690666	-0.00000037
0.38026307	0.00000027
0.41361948	0.00000201
0.44697589	0.00000221
0.48033230	0.00000172
0.51368871	0.00000145
0.54704512	-0.00000580
0.58040153	-0.00000323
0.61375794	-0.00000145
0.64711434	-0.00000384
0.68047075	-0.00000599
0.71382716	0.00000176
0.74718357	0.00000118
0.78053998	-0.00001096
0.81389639	0.00000491
0.84725280	-0.00001834
0.88060921	-0.00002712
0.91396562	-0.00002041
0.94732203	-0.00001279
0.98067844	-0.00000040
1.01403485	-0.00000141
1.04739126	-0.00000576
1.08074767	0.00002118
1.11410408	0.00004024
1.14746049	0.00002921
1.18081690	-0.00000165
1.21417331	-0.00001336
1.24752972	0.00000807
1.28088613	0.00001548
1.31424254	-0.00002852
1.34759894	-0.00000726
1.38095535	-0.00001135
1.41431176	-0.00000184
1.44766817	-0.00001368
1.48102458	0.00001622
1.51438099	0.00001916
1.54773740	0.00000731
1.58109381	0.00001705
1.61445022	-0.00000510
1.64780663	0.00003242
1.68116304	0.00001001
1.71451945	0.00002263
1.74787586	0.00006662
1.78123227	0.00005156
1.81458868	0.00000679
1.84794509	-0.00004913
1.88130150	0.00013799
1.91465791	-0.00003044
1.94801432	-0.00001925
1.98137073	0.00006165
2.01472713	0.00001802
2.04808354	0.00001572
2.08143995	0.00004231
2.11479636	-0.00000875
2.14815277	0.00010267
2.18150918	0.00008255
2.21486559	0.00014183
2.24822200	0.00012412
2.28157841	-0.00005576
2.31493482	-0.00003510
2.34829123	0.00002911
2.38164764	-0.00010617
2.41500405	0.00007724
2.44836046	0.00004700
2.48171687	0.00009446
2.51507328	0.00017246
2.54842969	0.00002455
2.58178610	0.00001531
2.61514251	0.00005681
2.64849892	-0.00001664
2.68185533	0.00009453
2.71521173	0.00016033
2.74856814	0.00015001
2.78192455	0.00003230
2.81528096	-0.00007184
2.84863737	-0.00003805
2.88199378	-0.00000321
2.91535019	0.00011444
2.94870660	-0.00009406
2.98206301	0.00014440
3.01541942	0.00019016
3.04877583	-0.00003828
3.08213224	-0.00030647
3.11548865	-0.00005638
3.14884506	0.00011400
3.18220147	0.00013141
3.21555788	-0.00002029
3.24891429	0.00005655
3.28227070	0.00018432
3.31562711	0.00007100
3.34898352	-0.00004106
3.38233993	0.00007643
3.41569633	0.00012591
3.44905274	-0.00038507
3.48240915	0.00028492
3.51576556	-0.00021295
3.54912197	-0.00046174
3.58247838	-0.00009402
3.61583479	0.00015849
3.64919120	0.00007501
3.68254761	-0.00018601
3.71590402	0.00002548
3.74926043	-0.00018797
3.78261684	-0.00037072
3.81597325	0.00004816
3.84932966	0.00034865
3.88268607	0.00009790
3.91604248	0.00008873
3.94939889	0.00015517
3.98275530	0.00014766
4.01611171	0.00010607
4.04946812	-0.00048295
4.08282453	-0.00056490
4.11618093	-0.00026357
4.14953734	-0.00007994
4.18289375	0.00023933
4.21625016	0.00053513
4.24960657	-0.00028776
4.28296298	0.00019210
4.31631939	0.00030305
4.34967580	0.00010823
4.38303221	-0.00022641
4.41638862	0.00001455
4.44974503	-0.00001783
4.48310144	-0.00032385
4.51645785	0.00002170
4.54981426	-0.00018479
4.58317067	0.00028882
4.61652708	0.00044873
4.64988349	-0.00005209
4.68323990	-0.00000381
4.71659631	-0.00021397
4.74995272	-0.00018059
4.78330913	-0.00044985
4.81666553	0.00003182
4.85002194	-0.00040556
4.88337835	-0.00036488
4.91673476	-0.00037704
4.95009117	0.00000603
4.98344758	0.00029532
5.01680399	-0.00030232
5.05016040	0.00004953
5.08351681	-0.00010120
5.11687322	-0.00002203
5.15022963	-0.00043753
5.18358604	-0.00044399
5.21694245	-0.00011741
5.25029886	-0.00032461
5.28365527	-0.00030709
5.31701168	-0.00033389
5.35036809	-0.00000051
5.38372450	-0.00026000
5.41708091	-0.00053496
5.45043732	-0.00079491
5.48379373	-0.00064635
5.51715013	0.00009440
5.55050654	0.00017951
5.58386295	0.00012929
5.61721936	0.00013441
5.65057577	-0.00003333
5.68393218	-0.00000119
5.71728859	-0.00028745
5.75064500	-0.00010356
5.78400141	-0.00063553
5.81735782	-0.00086379
5.85071423	-0.00030931
5.88407064	-0.00006946
5.91742705	-0.00028833
5.95078346	-0.00024763
5.98413987	-0.00019506
6.01749628	-0.00039665
6.05085269	-0.00029588
6.08420910	-0.00019912
6.11756551	-0.00073601
6.15092192	0.00018253
6.18427832	-0.00012002
6.21763473	-0.00067833
6.25099114	-0.00005508
6.28434755	0.00022937
6.31770396	-0.00005100
6.35106037	0.00024262
6.38441678	-0.00016418
6.41777319	-0.00004003
6.45112960	0.00000905
6.48448601	0.00017508
6.51784242	0.00067113
6.55119883	0.00005894
6.58455524	0.00040039
6.61791165	0.00089310
6.65126806	-0.00055199
6.68462447	-0.00058904
6.71798088	-0.00040876
6.75133729	0.00043753
6.78469370	-0.00006064
6.81805011	-0.00054144
6.85140652	-0.00061161
6.88476292	-0.00043366
6.91811933	0.00027933
6.95147574	0.00054830
6.98483215	0.00053902
7.01818856	0.00056845
7.05154497	0.00028084
7.08490138	-0.00007775
7.11825779	0.00006948
7.15161420	0.00010310
7.18497061	-0.00070416
7.21832702	0.00025366
7.25168343	0.00013944
7.28503984	-0.00020070
7.31839625	0.00053465
7.35175266	-0.00057581
7.38510907	-0.00113370
7.41846548	0.00070655
7.45182189	-0.00026720
7.48517830	-0.00023522
7.51853471	-0.00059451
7.55189112	0.00026085
7.58524752	0.00004956
7.61860393	-0.00007811
7.65196034	-0.00009609
7.68531675	-0.00053117
7.71867316	0.00083719
7.75202957	0.00035776
7.78538598	0.00066316
7.81874239	-0.00017325
7.85209880	-0.00042247
7.88545521	-0.00035320
7.91881162	-0.00003100
7.95216803	-0.00067497
7.98552444	0.00066085
8.01888085	0.00024065
8.05223726	0.00048084
8.08559367	0.00010771
8.11895008	-0.00037024
8.15230649	0.00001044
8.18566290	0.00026520
8.21901931	0.00019801
8.25237572	-0.00021010
8.28573212	0.00021382
8.31908853	0.00014868
8.35244494	0.00046248
8.38580135	0.00048440
8.41915776	0.00034297
8.45251417	-0.00050418
8.48587058	-0.00104140
8.51922699	0.00001960
8.55258340	0.00033322
8.58593981	-0.00008797
8.61929622	-0.00093309
8.65265263	-0.00014488
8.68600904	0.00037200
8.71936545	-0.00034123
8.75272186	-0.00033326
8.78607827	-0.00008863
8.81943468	0.00093523
8.85279109	0.00029817
8.88614750	-0.00061932
8.91950391	-0.00002542
8.95286032	0.00000363
8.98621672	0.00075446
9.01957313	0.00103084
9.05292954	-0.00040365
9.08628595	0.00028699
9.11964236	0.00008217
9.15299877	-0.00014705
9.18635518	-0.00019562
9.21971159	0.00064353
9.25306800	0.00031458
9.28642441	0.00036815
9.31978082	0.00022495
9.35313723	-0.00016474
9.38649364	-0.00030911
9.41985005	0.00038088
9.45320646	0.00017686
9.48656287	0.00013344
9.51991928	-0.00004044
9.55327569	-0.00000509
9.58663210	0.00012312
9.61998851	-0.00018299
9.65334492	-0.00036472
9.68670132	-0.00003747
9.72005773	-0.00064887
9.75341414	-0.00014860
9.78677055	0.00109665
9.82012696	0.00115782
9.85348337	0.00027427
9.88683978	0.00026777
9.92019619	-0.00012734
9.95355260	0.00043686
9.98690901	0.00068816
10.02026542	0.00119801
10.05362183	0.00062066
10.08697824	-0.00012913
10.12033465	0.00104352
10.15369106	0.00018230
10.18704747	0.00033275
10.22040388	0.00113036
10.25376029	0.00152175
10.28711670	0.00094979
10.32047311	0.00050909
10.35382951	0.00092871
10.38718592	0.00132204
10.42054233	0.00120051
10.45389874	0.00028909
10.48725515	-0.00057298
10.52061156	0.00161289
10.55396797	0.00200288
10.58732438	0.00080995
10.62068079	-0.00027448
10.65403720	0.00164164
10.68739361	0.00067197
10.72075002	0.00069702
10.75410643	0.00075613
10.78746284	0.00045002
10.82081925	0.00076326
10.85417566	0.00146441
10.88753207	0.00090052
10.92088848	0.00045116
10.95424489	0.00106735
10.98760130	0.00074961
11.02095771	0.00027783
11.05431411	0.00053055
11.08767052	0.00095138
11.12102693	0.00022358
11.15438334	-0.00051708
11.18773975	0.00101619
11.22109616	0.00031931
11.25445257	0.00068523
11.28780898	0.00115853
11.32116539	0.00027147
11.35452180	-0.00011786
11.38787821	0.00015035
11.42123462	0.00112587
11.45459103	-0.00112109
11.48794744	0.00021446
11.52130385	-0.00007153
11.55466026	-0.00007094
11.58801667	0.00088066
11.62137308	0.00123385
11.65472949	0.00057802
11.68808590	-0.00103576
11.72144231	0.00052891
11.75479871	-0.00034042
11.78815512	0.00002585
11.82151153	-0.00055237
11.85486794	-0.00147615
11.88822435	-0.00128843
11.92158076	-0.00038944
11.95493717	-0.00023349
11.98829358	-0.00065431
12.02164999	-0.00125920
12.05500640	-0.00138608
12.08836281	-0.00129097
12.12171922	-0.00137655
12.15507563	-0.00183720
12.18843204	-0.00109576
12.22178845	-0.00075790
12.25514486	-0.00094968
12.28850127	-0.00117790
12.32185768	-0.00052901
12.35521409	-0.00109925
12.38857050	-0.00256480
12.42192691	-0.00271363
12.45528331	-0.00138272
12.48863972	-0.00143717
12.52199613	-0.00193112
12.55535254	-0.00137252
12.58870895	-0.00123725
