# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	-0.00000003
0.08005538	0.00000004
0.11341179	0.00000028
0.14676820	0.00000056
0.18012461	0.00000075
0.21348102	0.00000056
0.24683743	-0.00000058
0.28019384	-0.00000106
0.31355025	-0.00000121
0.34690666	-0.00000097
0.38026307	0.00000387
0.41361948	0.00000471
0.44697589	0.00000206
0.48033230	-0.00000213
0.51368871	0.00000049
0.54704512	0.00000208
0.58040153	-0.00000022
0.61375794	0.00000273
0.64711434	0.00000102
0.68047075	0.00000547
0.71382716	0.00000204
0.74718357	0.00001058
0.78053998	0.00001385
0.81389639	0.00000948
0.84725280	0.00000438
0.88060921	-0.00000145
0.91396562	0.00000227
0.94732203	0.00000835
0.98067844	0.00001538
1.01403485	0.00000931
1.04739126	0.00000132
1.08074767	0.00000759
1.11410408	0.00002463
1.14746049	0.00004284
1.18081690	0.00001973
1.21417331	0.00001664
1.24752972	0.00004590
1.28088613	-0.00000160
1.31424254	-0.00000466
1.34759894	0.00002990
1.38095535	0.00004187
1.41431176	0.00004584
1.44766817	0.00004955
1.48102458	0.00000586
1.51438099	0.00005686
1.54773740	0.00001909
1.58109381	0.00003958
1.61445022	0.00006735
1.64780663	0.00005559
1.68116304	0.00001666
1.71451945	0.00002702
1.74787586	0.00001620
1.78123227	0.00011060
1.81458868	0.00004617
1.84794509	0.00000264
1.88130150	0.00001638
1.91465791	0.00006572
1.94801432	0.00003236
1.98137073	0.00008894
2.01472713	0.00014704
2.04808354	0.00011265
2.08143995	0.00006315
2.11479636	0.00000243
2.14815277	-0.00000974
2.18150918	-0.00000688
2.21486559	-0.00000312
2.24822200	-0.00010981
2.28157841	-0.00008140
2.31493482	0.00008907
2.34829123	0.00008131
2.38164764	0.00008056
2.41500405	0.00016207
2.44836046	0.00022519
2.48171687	0.00023944
2.51507328	0.00006491
2.54842969	-0.00004276
2.58178610	0.00011216
2.61514251	0.00023136
2.64849892	0.00025546
2.68185533	0.00016561
2.71521173	0.00010720
