# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	-0.00000001
0.08005538	0.00000009
0.11341179	-0.00000000
0.14676820	-0.00000057
0.18012461	-0.00000035
0.21348102	0.00000028
0.24683743	0.00000114
0.28019384	0.00000152
0.31355025	0.00000020
0.34690666	-0.00000231
0.38026307	-0.00000350
0.41361948	-0.00000175
0.44697589	0.00000130
0.48033230	-0.00000789
0.51368871	-0.00000734
0.54704512	0.00000038
0.58040153	0.00000303
0.61375794	-0.00000285
0.64711434	-0.00000366
0.68047075	0.00000102
0.71382716	-0.00000039
0.74718357	0.00000130
0.78053998	0.00000490
0.81389639	-0.00000025
0.84725280	0.00000045
0.88060921	0.00001386
0.91396562	0.00000563
0.94732203	-0.00001062
0.98067844	-0.00000972
1.01403485	-0.00000146
1.04739126	-0.00001615
1.08074767	-0.00003440
1.11410408	-0.00004018
1.14746049	-0.00003964
1.18081690	-0.00004275
1.21417331	-0.00002322
1.24752972	0.00000436
1.28088613	0.00002955
1.31424254	0.00003974
1.34759894	0.00004067
1.38095535	0.00003655
1.41431176	0.00002227
1.44766817	0.00004857
1.48102458	0.00003410
1.51438099	0.00001112
1.54773740	-0.00003351
1.58109381	-0.00004172
1.61445022	-0.00002418
1.64780663	-0.00000516
1.68116304	0.00001797
1.71451945	0.00005718
1.74787586	0.00001660
1.78123227	0.00000614
1.81458868	-0.00004980
1.84794509	-0.00000548
1.88130150	0.00005446
1.91465791	0.00005686
1.94801432	-0.00002839
1.98137073	0.00002012
2.01472713	0.00003380
2.04808354	0.00005043
2.08143995	0.00005958
2.11479636	0.00000644
2.14815277	-0.00008274
2.18150918	-0.00007704
2.21486559	-0.00000665
2.24822200	-0.00001764
2.28157841	-0.00005159
2.31493482	-0.00011120
2.34829123	-0.00001261
2.38164764	-0.00003448
2.41500405	-0.00011681
2.44836046	-0.00000525
2.48171687	-0.00002043
2.51507328	0.00006587
2.54842969	0.00010767
2.58178610	0.00000714
2.61514251	-0.00003141
2.64849892	0.00013191
2.68185533	0.00011227
2.71521173	0.00008003
2.74856814	0.00015522
2.78192455	-0.00003987
2.81528096	-0.00010268
2.84863737	-0.00010425
2.88199378	-0.00000998
2.91535019	-0.00013713
2.94870660	-0.00010653
2.98206301	0.00001613
3.01541942	0.00030924
3.04877583	0.00020657
3.08213224	-0.00016828
3.11548865	-0.00005040
3.14884506	0.00000488
3.18220147	-0.00004275
3.21555788	0.00000294
3.24891429	-0.00003465
3.28227070	0.00008674
3.31562711	-0.00001038
3.34898352	-0.00011027
3.38233993	-0.00018062
3.41569633	-0.00036243
3.44905274	-0.00024079
3.48240915	0.00037942
3.51576556	0.00033178
3.54912197	0.00000350
3.58247838	-0.00018834
3.61583479	0.00009814
3.64919120	-0.00008491
3.68254761	-0.00013818
3.71590402	0.00010375
3.74926043	0.00016064
3.78261684	-0.00009596
3.81597325	-0.00005790
3.84932966	-0.00001820
3.88268607	-0.00014678
3.91604248	0.00003157
3.94939889	-0.00019266
3.98275530	-0.00008120
4.01611171	0.00034352
4.04946812	0.00015163
4.08282453	-0.00015145
4.11618093	-0.00027252
4.14953734	-0.00013226
4.18289375	0.00016207
4.21625016	0.00009828
4.24960657	0.00032393
4.28296298	0.00002028
4.31631939	0.00003667
4.34967580	0.00012193
4.38303221	-0.00007811
4.41638862	-0.00005464
4.44974503	0.00016702
4.48310144	-0.00014025
4.51645785	-0.00032225
4.54981426	0.00006508
4.58317067	-0.00012942
4.61652708	0.00003081
4.64988349	-0.00032791
4.68323990	-0.00060825
4.71659631	0.00008882
4.74995272	0.00024526
4.78330913	0.00025482
4.81666553	-0.00001490
4.85002194	-0.00050002
4.88337835	-0.00057221
4.91673476	0.00011430
4.95009117	0.00012918
4.98344758	0.00050427
5.01680399	-0.00005016
5.05016040	-0.00003144
5.08351681	-0.00047905
5.11687322	-0.00057230
5.15022963	-0.00016149
5.18358604	0.00024760
5.21694245	0.00011650
5.25029886	-0.00009945
5.28365527	-0.00027032
5.31701168	-0.00006287
5.35036809	0.00056724
5.38372450	0.00051707
5.41708091	0.00033247
5.45043732	-0.00005106
5.48379373	-0.00001824
5.51715013	-0.00034433
5.55050654	0.00017230
5.58386295	-0.00029621
5.61721936	-0.00014455
5.65057577	0.00058541
5.68393218	-0.00038924
5.71728859	-0.00059234
5.75064500	0.00056940
5.78400141	0.00018513
5.81735782	0.00006337
5.85071423	0.00054615
5.88407064	0.00083624
5.91742705	0.00041197
5.95078346	0.00003091
5.98413987	0.00002119
6.01749628	-0.00023884
6.05085269	0.00039583
6.08420910	-0.00037421
6.11756551	-0.00003835
6.15092192	0.00023565
6.18427832	0.00031139
6.21763473	-0.00023486
6.25099114	-0.00055433
6.28434755	-0.00000670
6.31770396	0.00012843
6.35106037	-0.00019457
6.38441678	0.00005616
6.41777319	0.00057402
6.45112960	0.00074725
6.48448601	0.00042735
6.51784242	0.00040257
6.55119883	0.00022207
6.58455524	0.00080798
6.61791165	0.00020047
6.65126806	-0.00026171
6.68462447	0.00003035
6.71798088	-0.00011329
6.75133729	-0.00004726
6.78469370	0.00024700
6.81805011	0.00032723
6.85140652	0.00001278
6.88476292	0.00015106
6.91811933	0.00053752
6.95147574	0.00071608
6.98483215	0.00013656
7.01818856	0.00011212
7.05154497	0.00012736
7.08490138	-0.00019318
7.11825779	-0.00006899
7.15161420	-0.00033015
7.18497061	0.00051658
7.21832702	0.00024382
7.25168343	-0.00092017
7.28503984	-0.00014946
7.31839625	0.00023215
7.35175266	-0.00027320
7.38510907	-0.00032421
7.41846548	-0.00045386
7.45182189	-0.00035858
7.48517830	0.00001196
7.51853471	-0.00027582
7.55189112	-0.00075980
7.58524752	-0.00004256
7.61860393	0.00040878
7.65196034	0.00041431
7.68531675	-0.00139909
7.71867316	-0.00061030
7.75202957	-0.00009645
7.78538598	-0.00078131
7.81874239	0.00106723
7.85209880	0.00128034
7.88545521	-0.00058139
7.91881162	-0.00020563
7.95216803	0.00021434
7.98552444	-0.00043259
8.01888085	-0.00054580
8.05223726	0.00031029
8.08559367	-0.00052514
8.11895008	-0.00060668
8.15230649	0.00110881
8.18566290	-0.00035107
8.21901931	0.00002065
8.25237572	0.00019193
8.28573212	-0.00007314
8.31908853	0.00007300
8.35244494	0.00042268
8.38580135	0.00082605
8.41915776	-0.00027722
8.45251417	0.00114586
8.48587058	-0.00004253
8.51922699	0.00001258
8.55258340	-0.00030496
8.58593981	-0.00085520
8.61929622	-0.00019684
8.65265263	0.00057756
8.68600904	-0.00005257
8.71936545	0.00086597
8.75272186	-0.00068519
8.78607827	0.00021624
8.81943468	0.00100167
8.85279109	0.00052263
8.88614750	0.00021498
8.91950391	-0.00004745
8.95286032	0.00010644
8.98621672	-0.00028818
9.01957313	-0.00031291
9.05292954	-0.00057852
9.08628595	-0.00003489
9.11964236	-0.00000452
9.15299877	0.00055134
9.18635518	0.00059796
9.21971159	-0.00028730
9.25306800	0.00047250
9.28642441	-0.00008204
9.31978082	0.00010629
9.35313723	-0.00015859
9.38649364	-0.00112744
9.41985005	-0.00130257
9.45320646	-0.00080949
9.48656287	-0.00029257
9.51991928	0.00067780
9.55327569	0.00069358
9.58663210	0.00052470
9.61998851	0.00014313
9.65334492	-0.00014135
9.68670132	0.00115467
9.72005773	0.00126479
9.75341414	-0.00039369
9.78677055	-0.00011699
9.82012696	-0.00012840
9.85348337	0.00063769
9.88683978	0.00183333
9.92019619	0.00089465
9.95355260	0.00015066
9.98690901	0.00021656
10.02026542	0.00073039
10.05362183	-0.00023197
10.08697824	0.00109187
10.12033465	-0.00018783
10.15369106	-0.00086134
10.18704747	-0.00017179
10.22040388	0.00017341
10.25376029	0.00094177
10.28711670	0.00165381
10.32047311	0.00070392
10.35382951	0.00179251
10.38718592	0.00035831
10.42054233	-0.00048090
10.45389874	0.00075530
10.48725515	0.00128636
10.52061156	0.00128048
10.55396797	0.00040716
10.58732438	0.00116533
10.62068079	0.00122348
10.65403720	0.00134461
10.68739361	0.00091968
10.72075002	0.00065280
10.75410643	0.00091504
10.78746284	0.00107400
10.82081925	0.00066303
10.85417566	0.00051746
10.88753207	0.00094003
10.92088848	0.00081211
10.95424489	0.00089690
10.98760130	0.00098192
11.02095771	-0.00025272
11.05431411	-0.00015803
11.08767052	0.00096349
11.12102693	0.00095160
11.15438334	-0.00032121
11.18773975	-0.00003469
11.22109616	-0.00003738
11.25445257	0.00008766
11.28780898	0.00057296
11.32116539	0.00028465
11.35452180	0.00027065
11.38787821	-0.00066949
11.42123462	0.00025875
11.45459103	0.00005854
11.48794744	-0.00055584
11.52130385	-0.00062371
11.55466026	0.00094708
11.58801667	0.00014199
11.62137308	-0.00148929
11.65472949	-0.00035988
11.68808590	-0.00074119
11.72144231	-0.00008769
11.75479871	0.00101513
11.78815512	0.00018965
11.82151153	-0.00045432
11.85486794	-0.00021693
11.88822435	-0.00010396
11.92158076	-0.00013911
11.95493717	-0.00095864
11.98829358	-0.00088392
12.02164999	-0.00128055
12.05500640	-0.00165554
12.08836281	-0.00076329
12.12171922	-0.00002090
12.15507563	-0.00067380
12.18843204	-0.00105839
12.22178845	-0.00128973
12.25514486	-0.00144618
12.28850127	-0.00118970
12.32185768	-0.00090354
12.35521409	-0.00196501
12.38857050	-0.00130646
12.42192691	-0.00008044
12.45528331	-0.00046796
12.48863972	-0.00149071
12.52199613	-0.00146796
12.55535254	-0.00140068
