# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	-0.00000002
0.08005538	-0.00000002
0.11341179	0.00000007
0.14676820	0.00000006
0.18012461	0.00000005
0.21348102	0.00000077
0.24683743	-0.00000121
0.28019384	0.00000008
0.31355025	0.00000063
0.34690666	0.00000107
0.38026307	-0.00000207
0.41361948	-0.00000147
0.44697589	0.00000344
0.48033230	0.00000720
0.51368871	0.00000229
0.54704512	0.00000336
0.58040153	0.00000769
0.61375794	0.00001560
0.64711434	0.00000729
0.68047075	0.00000145
0.71382716	-0.00000652
0.74718357	-0.00000949
0.78053998	0.00000907
0.81389639	0.00000356
0.84725280	0.00001492
0.88060921	0.00001540
0.91396562	0.00000889
0.94732203	0.00003041
0.98067844	0.00001822
1.01403485	0.00000355
1.04739126	0.00001149
1.08074767	0.00000494
1.11410408	0.00000078
1.14746049	0.00000446
1.18081690	0.00001602
1.21417331	0.00004307
1.24752972	-0.00001535
1.28088613	-0.00004293
1.31424254	-0.00001919
1.34759894	0.00000355
1.38095535	0.00004246
1.41431176	0.00007442
1.44766817	0.00001970
1.48102458	0.00001818
1.51438099	0.00001917
1.54773740	0.00001084
1.58109381	-0.00003015
1.61445022	0.00008784
1.64780663	0.00005925
1.68116304	0.00005844
1.71451945	0.00007078
1.74787586	0.00009932
1.78123227	0.00008705
1.81458868	0.00009079
1.84794509	-0.00004680
1.88130150	0.00009805
1.91465791	0.00007286
1.94801432	0.00000544
1.98137073	-0.00002293
2.01472713	0.00004012
2.04808354	0.00005931
2.08143995	0.00004230
2.11479636	0.00008722
2.14815277	0.00003825
2.18150918	-0.00000472
2.21486559	-0.00006506
2.24822200	0.00002814
2.28157841	0.00023669
2.31493482	0.00012749
2.34829123	-0.00001133
2.38164764	0.00002040
2.41500405	0.00004777
2.44836046	0.00009133
2.48171687	-0.00007549
2.51507328	-0.00006205
2.54842969	0.00015690
2.58178610	0.00009332
2.61514251	0.00000830
2.64849892	0.00005910
2.68185533	0.00005179
2.71521173	0.00009720
2.74856814	0.00012532
2.78192455	0.00013017
2.81528096	0.00015472
2.84863737	0.00015924
2.88199378	0.00007037
2.91535019	0.00003868
2.94870660	0.00011326
2.98206301	0.00021685
3.01541942	0.00024199
3.04877583	0.00032200
3.08213224	0.00022401
3.11548865	0.00009314
3.14884506	0.00008020
3.18220147	-0.00001074
3.21555788	-0.00002507
3.24891429	0.00012746
3.28227070	0.00030625
3.31562711	0.00024683
3.34898352	-0.00029411
3.38233993	-0.00029422
3.41569633	-0.00010552
3.44905274	0.00013988
3.48240915	-0.00005614
3.51576556	-0.00009441
3.54912197	0.00001395
3.58247838	0.00020154
3.61583479	0.00011720
3.64919120	0.00009294
3.68254761	0.00004902
3.71590402	0.00022221
3.74926043	-0.00014632
3.78261684	0.00026764
3.81597325	0.00006010
3.84932966	-0.00040529
3.88268607	-0.00026159
3.91604248	0.00023195
3.94939889	0.00034660
3.98275530	0.00014403
4.01611171	-0.00007653
4.04946812	0.00015961
4.08282453	0.00047993
4.11618093	0.00016768
4.14953734	-0.00034626
4.18289375	-0.00035659
4.21625016	0.00007271
4.24960657	-0.00016057
4.28296298	0.00017341
4.31631939	-0.00006419
4.34967580	-0.00012894
4.38303221	0.00016761
4.41638862	0.00000171
4.44974503	-0.00030671
4.48310144	-0.00024215
4.51645785	0.00015474
4.54981426	0.00016885
4.58317067	0.00028199
4.61652708	0.00003544
4.64988349	-0.00006227
4.68323990	0.00002297
4.71659631	0.00002054
4.74995272	0.00007496
4.78330913	-0.00006246
4.81666553	0.00011997
4.85002194	-0.00014709
4.88337835	-0.00005860
4.91673476	0.00004877
4.95009117	0.00031459
4.98344758	-0.00035129
5.01680399	-0.00029806
5.05016040	0.00013043
5.08351681	0.00011661
5.11687322	-0.00024057
5.15022963	-0.00021466
5.18358604	-0.00010498
5.21694245	-0.00052589
5.25029886	-0.00031127
5.28365527	0.00020270
5.31701168	0.00063527
5.35036809	0.00040907
5.38372450	0.00016545
5.41708091	-0.00057930
5.45043732	-0.00050551
5.48379373	-0.00032312
5.51715013	0.00017183
5.55050654	0.00012057
5.58386295	0.00029766
5.61721936	0.00078627
5.65057577	0.00090379
5.68393218	-0.00026553
5.71728859	-0.00047227
5.75064500	-0.00025011
5.78400141	0.00071451
5.81735782	0.00055960
5.85071423	0.00023764
5.88407064	0.00000021
5.91742705	0.00013031
5.95078346	-0.00024952
5.98413987	-0.00016144
6.01749628	-0.00013749
6.05085269	0.00000369
6.08420910	0.00076872
6.11756551	-0.00007288
6.15092192	0.00063628
6.18427832	-0.00031369
6.21763473	-0.00008071
6.25099114	0.00031152
6.28434755	0.00032875
6.31770396	0.00049715
6.35106037	0.00066699
6.38441678	0.00008678
6.41777319	0.00036234
6.45112960	0.00023547
6.48448601	0.00031511
6.51784242	0.00021478
6.55119883	-0.00007305
6.58455524	-0.00009373
6.61791165	0.00063268
6.65126806	-0.00073065
6.68462447	0.00003192
6.71798088	-0.00007925
6.75133729	0.00088802
6.78469370	-0.00008427
6.81805011	0.00046756
6.85140652	0.00081458
6.88476292	-0.00036147
6.91811933	0.00031582
6.95147574	0.00102003
6.98483215	0.00044511
7.01818856	-0.00017133
7.05154497	0.00119335
7.08490138	0.00088105
7.11825779	0.00002498
7.15161420	0.00009503
7.18497061	0.00047636
7.21832702	0.00001007
7.25168343	0.00030088
7.28503984	0.00036917
7.31839625	0.00066385
7.35175266	0.00065266
7.38510907	0.00059918
7.41846548	0.00002596
7.45182189	0.00039250
7.48517830	0.00017732
7.51853471	0.00026408
7.55189112	-0.00030288
7.58524752	-0.00015560
7.61860393	-0.00025067
7.65196034	0.00018735
7.68531675	0.00069561
7.71867316	-0.00048556
7.75202957	-0.00022442
7.78538598	0.00086187
7.81874239	0.00056618
7.85209880	-0.00110759
7.88545521	0.00006669
7.91881162	0.00152746
7.95216803	0.00039000
7.98552444	-0.00004521
8.01888085	-0.00027336
8.05223726	-0.00007841
8.08559367	0.00045552
8.11895008	0.00048131
8.15230649	0.00042752
8.18566290	0.00071775
8.21901931	-0.00010954
8.25237572	0.00054170
8.28573212	-0.00020631
8.31908853	0.00164191
8.35244494	0.00151081
8.38580135	0.00050757
8.41915776	0.00021193
8.45251417	0.00081924
8.48587058	0.00104334
8.51922699	0.00004752
8.55258340	-0.00000332
8.58593981	0.00032821
8.61929622	0.00123990
8.65265263	0.00027541
8.68600904	0.00024996
8.71936545	0.00122317
8.75272186	0.00085105
8.78607827	0.00065976
8.81943468	0.00001389
8.85279109	0.00013293
8.88614750	0.00079193
8.91950391	0.00024268
8.95286032	0.00018444
8.98621672	0.00025998
9.01957313	0.00048367
9.05292954	0.00006354
9.08628595	0.00113513
9.11964236	0.00020149
9.15299877	-0.00035702
9.18635518	0.00081901
9.21971159	0.00070307
9.25306800	-0.00053387
9.28642441	0.00005012
9.31978082	-0.00017545
9.35313723	0.00059990
9.38649364	0.00046729
9.41985005	0.00026774
9.45320646	0.00040910
9.48656287	-0.00032765
9.51991928	-0.00086897
9.55327569	0.00042139
9.58663210	-0.00051846
9.61998851	0.00136823
9.65334492	0.00040948
9.68670132	-0.00059673
9.72005773	-0.00016128
9.75341414	0.00023083
9.78677055	0.00074575
9.82012696	0.00117921
9.85348337	0.00066397
9.88683978	0.00172101
9.92019619	0.00147534
9.95355260	0.00077163
9.98690901	0.00103563
10.02026542	-0.00003105
10.05362183	-0.00063748
10.08697824	0.00116758
10.12033465	0.00085572
10.15369106	0.00107831
10.18704747	0.00136020
10.22040388	0.00137276
10.25376029	0.00214118
10.28711670	0.00165522
10.32047311	0.00073471
10.35382951	0.00067032
10.38718592	0.00183731
10.42054233	0.00155496
10.45389874	0.00110965
10.48725515	0.00011175
10.52061156	0.00114172
