# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	-0.00000000
0.08005538	-0.00000003
0.11341179	-0.00000011
0.14676820	-0.00000003
0.18012461	-0.00000002
0.21348102	0.00000040
0.24683743	0.00000088
0.28019384	-0.00000083
0.31355025	0.00000077
0.34690666	0.00000061
0.38026307	-0.00000007
0.41361948	-0.00000052
0.44697589	-0.00000125
0.48033230	-0.00000068
0.51368871	-0.00000366
0.54704512	0.00000231
0.58040153	0.00000029
0.61375794	-0.00000347
0.64711434	-0.00000976
0.68047075	-0.00000210
0.71382716	0.00000740
0.74718357	0.00001455
0.78053998	0.00001169
0.81389639	-0.00000182
0.84725280	0.00000209
0.88060921	-0.00000654
0.91396562	-0.00000761
0.94732203	0.00000062
0.98067844	0.00000721
1.01403485	0.00001081
1.04739126	0.00000776
1.08074767	0.00000601
1.11410408	0.00002111
1.14746049	-0.00000099
1.18081690	-0.00000900
1.21417331	0.00000280
1.24752972	0.00003322
1.28088613	0.00000970
1.31424254	-0.00001728
1.34759894	0.00005763
1.38095535	-0.00002267
1.41431176	-0.00001675
1.44766817	-0.00000547
1.48102458	0.00000632
1.51438099	0.00004031
1.54773740	0.00004038
1.58109381	0.00001461
1.61445022	-0.00002124
1.64780663	0.00006209
1.68116304	0.00003595
1.71451945	0.00002733
1.74787586	0.00003239
1.78123227	-0.00000481
1.81458868	0.00001762
1.84794509	0.00003302
1.88130150	-0.00000516
1.91465791	-0.00000663
1.94801432	0.00004280
1.98137073	0.00000278
2.01472713	-0.00000102
2.04808354	0.00001626
2.08143995	-0.00001137
2.11479636	-0.00000267
2.14815277	0.00001151
2.18150918	0.00009873
2.21486559	-0.00000055
2.24822200	-0.00008671
2.28157841	-0.00012990
2.31493482	-0.00005296
2.34829123	-0.00009381
2.38164764	-0.00014202
2.41500405	0.00006948
2.44836046	-0.00004853
2.48171687	-0.00016310
2.51507328	-0.00010230
2.54842969	0.00008184
2.58178610	-0.00002901
2.61514251	-0.00014678
2.64849892	-0.00007539
2.68185533	-0.00003922
2.71521173	0.00004828
2.74856814	0.00001700
2.78192455	-0.00016940
2.81528096	-0.00026930
2.84863737	-0.00009152
2.88199378	0.00011522
2.91535019	0.00007162
2.94870660	0.00001747
2.98206301	-0.00006142
3.01541942	-0.00013846
3.04877583	-0.00008339
3.08213224	-0.00003264
3.11548865	-0.00020618
3.14884506	0.00009597
3.18220147	0.00016883
3.21555788	0.00025458
3.24891429	0.00001490
3.28227070	0.00000016
3.31562711	-0.00011640
3.34898352	0.00003019
3.38233993	0.00022004
3.41569633	0.00006251
3.44905274	-0.00005954
3.48240915	-0.00008271
3.51576556	-0.00005857
3.54912197	-0.00020043
3.58247838	-0.00020625
3.61583479	-0.00008294
3.64919120	-0.00019488
3.68254761	-0.00008921
3.71590402	0.00014069
3.74926043	-0.00006695
3.78261684	0.00020292
3.81597325	0.00015731
3.84932966	0.00025951
3.88268607	0.00029757
3.91604248	-0.00003708
3.94939889	-0.00008836
3.98275530	0.00034482
4.01611171	0.00009644
4.04946812	-0.00004580
4.08282453	-0.00013204
4.11618093	-0.00021727
4.14953734	-0.00003309
4.18289375	0.00017586
4.21625016	0.00014614
4.24960657	0.00003089
4.28296298	0.00012773
4.31631939	0.00028306
4.34967580	0.00009687
4.38303221	-0.00001250
4.41638862	0.00024212
4.44974503	0.00030788
4.48310144	0.00020983
4.51645785	0.00017480
4.54981426	0.00004103
4.58317067	0.00012396
4.61652708	-0.00012183
4.64988349	0.00000014
4.68323990	0.00006664
4.71659631	0.00000728
4.74995272	0.00002129
4.78330913	-0.00001992
4.81666553	-0.00031603
4.85002194	0.00049043
4.88337835	0.00049736
4.91673476	-0.00012370
4.95009117	-0.00041435
4.98344758	-0.00028689
5.01680399	-0.00043274
5.05016040	-0.00041995
5.08351681	-0.00015716
5.11687322	-0.00044912
5.15022963	0.00020283
5.18358604	0.00021162
5.21694245	-0.00056992
5.25029886	-0.00047636
5.28365527	0.00014934
5.31701168	-0.00022059
5.35036809	0.00027838
5.38372450	-0.00045291
5.41708091	-0.00022732
5.45043732	0.00004031
5.48379373	0.00019407
5.51715013	0.00043212
5.55050654	-0.00010253
5.58386295	-0.00025842
5.61721936	-0.00119886
5.65057577	0.00019541
5.68393218	-0.00059830
5.71728859	-0.00081124
5.75064500	-0.00011581
5.78400141	0.00035419
5.81735782	-0.00001929
5.85071423	-0.00037526
5.88407064	0.00005234
5.91742705	0.00019016
5.95078346	-0.00010737
5.98413987	-0.00052710
6.01749628	-0.00001590
6.05085269	0.00010988
6.08420910	-0.00027343
6.11756551	-0.00034187
6.15092192	-0.00012018
6.18427832	-0.00022012
6.21763473	-0.00031556
6.25099114	0.00004078
6.28434755	-0.00013421
6.31770396	-0.00003450
6.35106037	-0.00006319
6.38441678	-0.00057307
6.41777319	-0.00032524
6.45112960	-0.00046604
6.48448601	0.00005242
6.51784242	0.00039628
6.55119883	-0.00086196
6.58455524	-0.00068425
6.61791165	0.00061818
6.65126806	-0.00010771
6.68462447	0.00032142
6.71798088	-0.00084760
6.75133729	-0.00113342
6.78469370	-0.00082916
6.81805011	-0.00086723
6.85140652	-0.00070473
6.88476292	0.00024192
6.91811933	0.00009557
6.95147574	-0.00001914
6.98483215	0.00068587
7.01818856	0.00056403
