# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	-0.00000002
0.08005538	0.00000003
0.11341179	-0.00000016
0.14676820	-0.00000008
0.18012461	0.00000009
0.21348102	-0.00000050
0.24683743	-0.00000100
0.28019384	0.00000036
0.31355025	-0.00000063
0.34690666	-0.00000289
0.38026307	-0.00000148
0.41361948	-0.00000162
0.44697589	-0.00000231
0.48033230	-0.00000530
0.51368871	-0.00000521
0.54704512	-0.00000800
0.58040153	-0.00000930
0.61375794	-0.00000428
0.64711434	-0.00000067
0.68047075	-0.00000441
0.71382716	-0.00000680
0.74718357	-0.00001566
0.78053998	-0.00001706
0.81389639	-0.00002112
0.84725280	-0.00001644
0.88060921	-0.00001001
0.91396562	0.00000381
0.94732203	-0.00001487
0.98067844	0.00000981
1.01403485	-0.00000628
1.04739126	-0.00001787
1.08074767	-0.00000204
1.11410408	0.00000686
1.14746049	0.00000240
1.18081690	-0.00003056
1.21417331	-0.00001175
1.24752972	-0.00001495
1.28088613	-0.00002929
1.31424254	0.00000147
1.34759894	0.00001953
1.38095535	0.00002309
1.41431176	0.00000954
1.44766817	-0.00000242
1.48102458	-0.00001055
1.51438099	-0.00008819
1.54773740	-0.00008310
1.58109381	-0.00000344
1.61445022	0.00001098
1.64780663	0.00003192
1.68116304	0.00003468
1.71451945	0.00001685
1.74787586	-0.00004608
1.78123227	-0.00002367
1.81458868	-0.00002493
1.84794509	-0.00004955
1.88130150	-0.00008689
1.91465791	-0.00006228
1.94801432	-0.00007948
1.98137073	-0.00006170
2.01472713	-0.00000237
2.04808354	-0.00002053
2.08143995	-0.00003159
2.11479636	0.00000454
2.14815277	0.00004451
2.18150918	0.00001102
2.21486559	0.00005100
2.24822200	-0.00005606
2.28157841	0.00001285
2.31493482	-0.00013005
2.34829123	-0.00001435
2.38164764	0.00017578
2.41500405	0.00013082
2.44836046	0.00004874
2.48171687	0.00002482
2.51507328	-0.00012783
2.54842969	-0.00000325
2.58178610	0.00000657
2.61514251	0.00008958
2.64849892	0.00014737
2.68185533	0.00000419
2.71521173	-0.00006392
2.74856814	-0.00020962
2.78192455	-0.00004951
2.81528096	-0.00008820
2.84863737	-0.00012494
2.88199378	-0.00013268
2.91535019	-0.00003969
2.94870660	-0.00009326
2.98206301	-0.00016012
3.01541942	-0.00009288
3.04877583	-0.00016056
3.08213224	-0.00000741
3.11548865	0.00004192
3.14884506	-0.00010118
3.18220147	-0.00033209
3.21555788	-0.00029216
3.24891429	-0.00010519
3.28227070	-0.00005241
3.31562711	-0.00014243
3.34898352	-0.00017547
3.38233993	-0.00005284
3.41569633	0.00008959
3.44905274	0.00018491
3.48240915	-0.00004325
3.51576556	-0.00012347
3.54912197	-0.00012213
3.58247838	0.00006624
3.61583479	-0.00005477
3.64919120	-0.00030800
3.68254761	-0.00037982
3.71590402	0.00006402
3.74926043	-0.00006635
3.78261684	-0.00015358
3.81597325	-0.00030004
3.84932966	0.00014909
3.88268607	-0.00016952
3.91604248	-0.00021244
3.94939889	-0.00027388
3.98275530	-0.00011741
4.01611171	-0.00023658
4.04946812	-0.00008018
4.08282453	0.00043747
4.11618093	0.00010762
4.14953734	-0.00008201
4.18289375	-0.00007551
4.21625016	-0.00025044
4.24960657	-0.00022861
4.28296298	0.00019672
4.31631939	0.00033845
4.34967580	0.00001000
4.38303221	-0.00044226
4.41638862	-0.00008789
4.44974503	-0.00018958
4.48310144	0.00005650
4.51645785	0.00030209
4.54981426	0.00034682
4.58317067	-0.00017881
4.61652708	-0.00026054
4.64988349	0.00009135
4.68323990	-0.00028402
4.71659631	0.00006987
4.74995272	-0.00024653
4.78330913	-0.00041461
4.81666553	-0.00041420
4.85002194	-0.00022682
4.88337835	-0.00027819
4.91673476	-0.00035269
4.95009117	-0.00003905
4.98344758	0.00011526
5.01680399	-0.00038243
5.05016040	-0.00067926
5.08351681	-0.00047538
5.11687322	-0.00009935
5.15022963	-0.00000073
5.18358604	-0.00056875
5.21694245	0.00026279
5.25029886	-0.00066441
5.28365527	-0.00016741
5.31701168	0.00067026
5.35036809	-0.00001420
5.38372450	-0.00070290
5.41708091	-0.00059968
5.45043732	-0.00030664
5.48379373	-0.00067611
5.51715013	-0.00020943
5.55050654	-0.00010503
5.58386295	-0.00019298
5.61721936	0.00014559
5.65057577	0.00009093
5.68393218	-0.00038136
5.71728859	0.00006036
5.75064500	-0.00088087
5.78400141	0.00012056
5.81735782	-0.00036318
5.85071423	-0.00093535
5.88407064	-0.00036036
5.91742705	0.00017007
5.95078346	-0.00007432
5.98413987	-0.00045261
6.01749628	-0.00010227
6.05085269	-0.00013047
6.08420910	0.00001213
6.11756551	-0.00038860
6.15092192	-0.00082846
6.18427832	-0.00058409
6.21763473	-0.00024698
6.25099114	0.00025800
6.28434755	-0.00075479
6.31770396	0.00013320
6.35106037	-0.00033200
6.38441678	-0.00047437
6.41777319	0.00009277
6.45112960	-0.00030549
6.48448601	-0.00079632
6.51784242	-0.00029541
6.55119883	-0.00005250
6.58455524	0.00027101
6.61791165	-0.00017578
6.65126806	-0.00028734
6.68462447	0.00000632
6.71798088	0.00002184
6.75133729	-0.00052839
6.78469370	-0.00007996
6.81805011	-0.00053446
6.85140652	-0.00037271
6.88476292	-0.00005878
6.91811933	-0.00008939
6.95147574	-0.00069583
6.98483215	-0.00032148
7.01818856	-0.00017459
7.05154497	-0.00070687
7.08490138	-0.00075497
7.11825779	-0.00028823
7.15161420	-0.00067619
7.18497061	-0.00087466
7.21832702	-0.00026548
7.25168343	-0.00003540
7.28503984	-0.00047861
7.31839625	-0.00036609
7.35175266	-0.00053958
7.38510907	0.00033706
7.41846548	-0.00083532
7.45182189	-0.00068132
7.48517830	0.00048446
7.51853471	-0.00010516
7.55189112	-0.00121123
7.58524752	-0.00000842
7.61860393	-0.00055066
7.65196034	-0.00085349
7.68531675	-0.00012017
7.71867316	-0.00021399
7.75202957	-0.00076254
7.78538598	-0.00055798
7.81874239	-0.00068567
7.85209880	-0.00113392
7.88545521	-0.00090565
7.91881162	0.00031926
7.95216803	0.00065886
7.98552444	0.00036124
8.01888085	0.00026875
8.05223726	-0.00032368
8.08559367	-0.00042672
8.11895008	-0.00003209
8.15230649	0.00030929
8.18566290	-0.00017220
8.21901931	-0.00056504
8.25237572	-0.00112460
8.28573212	-0.00081475
8.31908853	-0.00015326
8.35244494	-0.00031707
8.38580135	-0.00093651
8.41915776	-0.00073433
8.45251417	-0.00017761
8.48587058	-0.00073950
8.51922699	-0.00105916
8.55258340	0.00023533
8.58593981	-0.00045780
8.61929622	-0.00095545
8.65265263	-0.00002471
8.68600904	0.00011897
8.71936545	-0.00107256
8.75272186	-0.00116005
8.78607827	-0.00057551
8.81943468	-0.00086262
8.85279109	-0.00086261
8.88614750	-0.00046975
8.91950391	0.00006722
8.95286032	-0.00114481
8.98621672	0.00061966
9.01957313	0.00022300
9.05292954	-0.00127323
9.08628595	-0.00148575
9.11964236	0.00028255
9.15299877	0.00007294
9.18635518	-0.00100480
9.21971159	-0.00114534
9.25306800	-0.00091741
9.28642441	0.00034078
9.31978082	0.00024292
9.35313723	-0.00097708
9.38649364	0.00012628
9.41985005	-0.00000452
9.45320646	-0.00101501
9.48656287	-0.00082374
9.51991928	-0.00102885
9.55327569	0.00072638
9.58663210	0.00078778
9.61998851	-0.00046822
9.65334492	-0.00155492
9.68670132	-0.00091319
9.72005773	-0.00068152
9.75341414	0.00088354
9.78677055	0.00031507
9.82012696	-0.00099605
9.85348337	-0.00047897
9.88683978	0.00109402
9.92019619	-0.00033248
9.95355260	-0.00106832
9.98690901	0.00040661
10.02026542	0.00071094
10.05362183	-0.00005232
10.08697824	-0.00063582
10.12033465	-0.00044422
10.15369106	0.00061016
