# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	-0.00000007
0.08005538	-0.00000014
0.11341179	-0.00000013
0.14676820	0.00000009
0.18012461	0.00000006
0.21348102	0.00000034
0.24683743	-0.00000014
0.28019384	0.00000128
0.31355025	0.00000114
0.34690666	-0.00000018
0.38026307	-0.00000019
0.41361948	-0.00000198
0.44697589	-0.00000092
0.48033230	-0.00000064
0.51368871	-0.00000496
0.54704512	-0.00000855
0.58040153	-0.00000318
0.61375794	0.00000104
0.64711434	0.00000200
0.68047075	-0.00000196
0.71382716	-0.00000365
0.74718357	0.00000883
0.78053998	0.00001415
0.81389639	0.00000376
0.84725280	-0.00000456
0.88060921	0.00000504
0.91396562	-0.00001307
0.94732203	0.00001076
0.98067844	-0.00002028
1.01403485	-0.00000854
1.04739126	0.00000688
1.08074767	-0.00000248
1.11410408	0.00000278
1.14746049	0.00000488
1.18081690	-0.00000228
1.21417331	-0.00001550
1.24752972	-0.00002271
1.28088613	-0.00003470
1.31424254	0.00002135
1.34759894	0.00000753
1.38095535	-0.00001218
1.41431176	-0.00000045
1.44766817	0.00000498
1.48102458	-0.00006335
1.51438099	-0.00005245
1.54773740	-0.00002512
1.58109381	0.00002204
1.61445022	0.00004373
1.64780663	0.00000343
1.68116304	0.00001472
1.71451945	-0.00002748
1.74787586	-0.00003678
1.78123227	-0.00005305
1.81458868	-0.00001116
1.84794509	-0.00003238
1.88130150	-0.00007838
1.91465791	-0.00014223
1.94801432	-0.00011246
1.98137073	-0.00005216
2.01472713	0.00002156
2.04808354	-0.00000598
2.08143995	-0.00010166
2.11479636	-0.00005915
2.14815277	-0.00004024
2.18150918	-0.00000121
2.21486559	0.00011621
2.24822200	0.00012179
2.28157841	0.00003090
2.31493482	-0.00000939
2.34829123	-0.00001262
2.38164764	0.00008099
2.41500405	-0.00001866
2.44836046	-0.00017408
2.48171687	-0.00020221
2.51507328	-0.00007161
2.54842969	-0.00003856
2.58178610	-0.00012395
2.61514251	-0.00006094
2.64849892	-0.00001119
2.68185533	-0.00010040
2.71521173	-0.00024095
2.74856814	-0.00020384
2.78192455	-0.00006334
2.81528096	0.00006128
2.84863737	-0.00013693
2.88199378	-0.00015983
2.91535019	0.00014952
2.94870660	0.00014149
2.98206301	-0.00006920
3.01541942	-0.00005276
3.04877583	0.00006799
3.08213224	0.00010602
3.11548865	-0.00002281
3.14884506	-0.00008950
3.18220147	-0.00002068
3.21555788	-0.00001287
3.24891429	-0.00003258
3.28227070	-0.00007087
3.31562711	0.00004898
3.34898352	0.00010504
3.38233993	-0.00012970
3.41569633	-0.00019606
3.44905274	0.00003742
3.48240915	-0.00016843
3.51576556	-0.00043855
3.54912197	-0.00021680
3.58247838	-0.00007301
3.61583479	-0.00001059
3.64919120	-0.00003161
3.68254761	0.00005229
3.71590402	0.00007330
3.74926043	-0.00020441
3.78261684	-0.00044623
3.81597325	-0.00010298
3.84932966	-0.00014465
3.88268607	-0.00026295
3.91604248	0.00002815
3.94939889	0.00012842
3.98275530	0.00004695
4.01611171	0.00013510
4.04946812	-0.00005382
4.08282453	-0.00024433
4.11618093	-0.00007991
4.14953734	-0.00004657
4.18289375	-0.00030770
4.21625016	-0.00011647
4.24960657	-0.00016180
4.28296298	-0.00021667
4.31631939	-0.00015517
4.34967580	-0.00023483
4.38303221	0.00034968
4.41638862	-0.00027288
4.44974503	-0.00012798
4.48310144	-0.00050815
4.51645785	-0.00040282
4.54981426	-0.00013052
4.58317067	-0.00025716
4.61652708	-0.00046231
4.64988349	0.00046196
4.68323990	-0.00048116
4.71659631	-0.00016576
4.74995272	-0.00044811
4.78330913	-0.00055944
4.81666553	-0.00065186
4.85002194	-0.00010275
4.88337835	-0.00015437
4.91673476	-0.00032173
4.95009117	-0.00026066
4.98344758	-0.00013646
5.01680399	-0.00030433
5.05016040	-0.00039213
5.08351681	-0.00033068
5.11687322	-0.00033130
5.15022963	-0.00029206
5.18358604	-0.00064911
5.21694245	0.00001935
5.25029886	-0.00058988
5.28365527	-0.00043886
5.31701168	-0.00032501
5.35036809	-0.00063405
5.38372450	-0.00073375
5.41708091	-0.00043914
5.45043732	-0.00062624
5.48379373	-0.00058935
5.51715013	-0.00020404
5.55050654	-0.00003610
5.58386295	-0.00054378
5.61721936	-0.00072196
5.65057577	-0.00018158
5.68393218	0.00001198
5.71728859	-0.00046855
