# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	0.00000001
0.08005538	-0.00000005
0.11341179	-0.00000001
0.14676820	0.00000019
0.18012461	0.00000057
0.21348102	0.00000030
0.24683743	-0.00000076
0.28019384	0.00000071
0.31355025	0.00000090
0.34690666	-0.00000385
0.38026307	-0.00000602
0.41361948	-0.00000113
0.44697589	-0.00000022
0.48033230	0.00000273
0.51368871	0.00000690
0.54704512	0.00000561
0.58040153	0.00000243
0.61375794	0.00000369
0.64711434	0.00000262
0.68047075	0.00000143
0.71382716	0.00000686
0.74718357	0.00001120
0.78053998	0.00000352
0.81389639	0.00000263
0.84725280	0.00001732
0.88060921	0.00001828
0.91396562	0.00002495
0.94732203	0.00001531
0.98067844	0.00000158
1.01403485	0.00000164
1.04739126	0.00001463
1.08074767	0.00000038
1.11410408	0.00000446
1.14746049	0.00000717
1.18081690	-0.00001460
1.21417331	-0.00000436
1.24752972	0.00003545
1.28088613	0.00003201
1.31424254	-0.00000298
1.34759894	0.00004125
1.38095535	0.00006072
1.41431176	0.00001810
1.44766817	-0.00002736
1.48102458	-0.00000151
1.51438099	0.00005816
1.54773740	0.00005616
1.58109381	0.00000384
1.61445022	0.00010068
1.64780663	0.00002440
1.68116304	0.00006575
1.71451945	0.00004467
1.74787586	0.00002696
1.78123227	0.00008545
1.81458868	0.00009091
1.84794509	0.00000049
1.88130150	-0.00008264
1.91465791	-0.00009175
1.94801432	0.00005492
1.98137073	0.00001904
2.01472713	-0.00004382
2.04808354	0.00000349
2.08143995	0.00009656
2.11479636	0.00007140
2.14815277	0.00007376
2.18150918	0.00008064
2.21486559	-0.00004301
2.24822200	-0.00001436
2.28157841	-0.00002645
2.31493482	0.00010348
2.34829123	0.00011440
2.38164764	0.00006856
2.41500405	0.00009442
2.44836046	-0.00019419
2.48171687	-0.00007195
2.51507328	0.00017904
2.54842969	0.00010325
2.58178610	-0.00009202
2.61514251	-0.00004354
2.64849892	0.00016001
2.68185533	-0.00000063
2.71521173	0.00001990
2.74856814	-0.00011854
2.78192455	-0.00006744
2.81528096	-0.00001778
2.84863737	-0.00016704
2.88199378	0.00000120
2.91535019	0.00016390
2.94870660	-0.00008808
2.98206301	0.00006669
3.01541942	-0.00003235
3.04877583	0.00006771
3.08213224	0.00010284
3.11548865	0.00011051
3.14884506	0.00009024
3.18220147	-0.00001397
3.21555788	-0.00006054
3.24891429	0.00002788
3.28227070	-0.00001713
3.31562711	-0.00005439
3.34898352	-0.00007791
3.38233993	0.00009832
3.41569633	0.00017701
3.44905274	-0.00001338
3.48240915	0.00019298
3.51576556	0.00025176
3.54912197	0.00021790
3.58247838	-0.00016304
3.61583479	-0.00025917
3.64919120	0.00030718
3.68254761	0.00017865
3.71590402	0.00002339
3.74926043	-0.00011890
3.78261684	0.00040724
3.81597325	0.00021093
3.84932966	-0.00010914
3.88268607	-0.00016388
3.91604248	-0.00061629
3.94939889	0.00013268
3.98275530	0.00038321
4.01611171	0.00044917
4.04946812	-0.00029897
4.08282453	-0.00040971
4.11618093	-0.00010753
4.14953734	0.00021484
4.18289375	0.00052893
4.21625016	0.00020940
4.24960657	-0.00043921
4.28296298	0.00053356
4.31631939	0.00006907
4.34967580	0.00011824
4.38303221	0.00020210
4.41638862	0.00022539
4.44974503	0.00018827
4.48310144	-0.00017778
4.51645785	0.00002675
4.54981426	-0.00005836
4.58317067	0.00051653
4.61652708	0.00039724
4.64988349	-0.00003610
4.68323990	-0.00028096
4.71659631	-0.00046248
4.74995272	0.00017211
4.78330913	0.00047639
4.81666553	0.00035507
4.85002194	-0.00006296
4.88337835	0.00019850
4.91673476	0.00002073
4.95009117	-0.00030805
4.98344758	-0.00046979
5.01680399	-0.00052421
5.05016040	-0.00052351
5.08351681	0.00005407
5.11687322	-0.00000813
5.15022963	0.00020259
5.18358604	0.00056466
5.21694245	0.00045986
5.25029886	-0.00018176
5.28365527	-0.00010307
5.31701168	0.00044708
5.35036809	0.00051038
5.38372450	-0.00024952
5.41708091	0.00027144
5.45043732	0.00033963
5.48379373	0.00023873
5.51715013	0.00059321
5.55050654	0.00045246
5.58386295	0.00004707
5.61721936	0.00005647
5.65057577	0.00058641
5.68393218	-0.00014504
5.71728859	-0.00001783
5.75064500	0.00074573
5.78400141	0.00076600
5.81735782	-0.00003385
5.85071423	-0.00001600
5.88407064	0.00013241
5.91742705	0.00021389
5.95078346	0.00073322
5.98413987	0.00083417
6.01749628	-0.00045788
6.05085269	-0.00068611
6.08420910	0.00004275
6.11756551	-0.00006632
6.15092192	0.00048272
6.18427832	-0.00035818
6.21763473	0.00001006
6.25099114	0.00047079
6.28434755	0.00019351
6.31770396	-0.00057169
6.35106037	-0.00039602
6.38441678	0.00056804
6.41777319	0.00007161
6.45112960	0.00063686
6.48448601	0.00101646
6.51784242	0.00030289
6.55119883	-0.00037068
6.58455524	-0.00005653
6.61791165	0.00029733
6.65126806	0.00003981
6.68462447	0.00031570
6.71798088	0.00124249
6.75133729	0.00044738
6.78469370	0.00044826
6.81805011	0.00154302
6.85140652	0.00107692
6.88476292	-0.00006836
6.91811933	0.00019292
6.95147574	-0.00044259
6.98483215	0.00022466
7.01818856	0.00006094
7.05154497	0.00027517
7.08490138	0.00017458
7.11825779	0.00059251
7.15161420	0.00119056
7.18497061	0.00060272
7.21832702	0.00078847
7.25168343	0.00070359
7.28503984	0.00067213
7.31839625	0.00050635
7.35175266	0.00115861
7.38510907	0.00111735
7.41846548	-0.00028353
7.45182189	-0.00076561
7.48517830	-0.00029567
7.51853471	-0.00073452
7.55189112	-0.00011108
7.58524752	0.00132508
7.61860393	-0.00043148
7.65196034	-0.00110330
7.68531675	0.00037310
7.71867316	0.00101572
7.75202957	0.00101087
7.78538598	0.00098562
7.81874239	0.00071235
7.85209880	0.00015663
7.88545521	0.00045930
7.91881162	0.00053597
7.95216803	-0.00035781
7.98552444	-0.00012420
8.01888085	0.00006692
8.05223726	-0.00001781
8.08559367	-0.00068480
8.11895008	-0.00021630
8.15230649	0.00057368
8.18566290	0.00102940
8.21901931	0.00060539
8.25237572	0.00035204
8.28573212	-0.00024342
8.31908853	0.00016133
8.35244494	-0.00026187
8.38580135	0.00027164
8.41915776	0.00052387
8.45251417	0.00069336
8.48587058	-0.00052890
8.51922699	0.00008908
8.55258340	0.00014881
8.58593981	-0.00007041
8.61929622	-0.00065586
8.65265263	-0.00001117
8.68600904	0.00006775
8.71936545	0.00065907
8.75272186	0.00037216
8.78607827	0.00065229
8.81943468	-0.00015048
8.85279109	0.00071038
8.88614750	0.00078478
8.91950391	0.00049689
8.95286032	-0.00046076
8.98621672	-0.00043522
9.01957313	0.00016707
9.05292954	0.00075025
9.08628595	0.00022710
9.11964236	-0.00018451
9.15299877	-0.00039552
9.18635518	-0.00018849
9.21971159	0.00024730
9.25306800	0.00133229
9.28642441	0.00062115
9.31978082	-0.00000366
9.35313723	0.00120771
9.38649364	0.00039215
9.41985005	0.00001702
9.45320646	-0.00044549
9.48656287	-0.00059275
9.51991928	-0.00006464
9.55327569	0.00042529
9.58663210	0.00019577
9.61998851	0.00088823
9.65334492	0.00061361
9.68670132	-0.00028724
9.72005773	0.00114691
9.75341414	0.00103768
9.78677055	0.00055631
9.82012696	0.00075619
9.85348337	0.00069836
9.88683978	0.00027370
9.92019619	0.00128352
9.95355260	0.00125673
9.98690901	-0.00000607
10.02026542	-0.00047368
10.05362183	-0.00054177
10.08697824	0.00005498
10.12033465	0.00133292
10.15369106	0.00068062
10.18704747	0.00034084
10.22040388	0.00031082
10.25376029	0.00170876
10.28711670	0.00222018
10.32047311	0.00168095
10.35382951	0.00106096
10.38718592	0.00109327
10.42054233	0.00100870
10.45389874	0.00028974
10.48725515	0.00205626
10.52061156	0.00299048
10.55396797	0.00180771
10.58732438	0.00141778
10.62068079	-0.00014106
10.65403720	0.00144269
10.68739361	0.00002643
10.72075002	0.00178233
10.75410643	0.00142035
10.78746284	0.00029636
10.82081925	0.00038171
10.85417566	0.00127142
10.88753207	0.00140161
10.92088848	0.00157200
10.95424489	0.00114653
10.98760130	0.00112247
11.02095771	0.00001374
11.05431411	0.00093510
11.08767052	0.00189911
11.12102693	0.00168884
11.15438334	0.00122394
11.18773975	0.00026508
11.22109616	0.00105663
11.25445257	0.00028297
11.28780898	0.00002681
11.32116539	0.00028728
11.35452180	0.00053298
11.38787821	0.00084137
11.42123462	0.00022467
11.45459103	-0.00090410
11.48794744	0.00055053
11.52130385	0.00017604
11.55466026	0.00000582
11.58801667	-0.00011916
11.62137308	-0.00019327
11.65472949	-0.00021542
11.68808590	-0.00002594
11.72144231	0.00047100
11.75479871	-0.00046205
11.78815512	-0.00055398
11.82151153	-0.00077600
11.85486794	0.00001326
11.88822435	-0.00047829
11.92158076	-0.00039285
11.95493717	0.00053121
11.98829358	0.00016629
12.02164999	-0.00064152
12.05500640	-0.00072682
12.08836281	-0.00029617
12.12171922	-0.00029936
12.15507563	-0.00016137
12.18843204	-0.00038134
12.22178845	-0.00106426
12.25514486	-0.00073543
12.28850127	-0.00105536
12.32185768	-0.00086366
12.35521409	-0.00113460
12.38857050	-0.00091834
12.42192691	-0.00121421
12.45528331	-0.00159137
12.48863972	-0.00133275
12.52199613	-0.00149820
12.55535254	-0.00126866
12.58870895	-0.00234905
12.62206536	-0.00221659
12.65542177	-0.00196253
12.68877818	-0.00177199
