# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	0.00000001
0.08005538	0.00000006
0.11341179	0.00000026
0.14676820	0.00000017
0.18012461	-0.00000047
0.21348102	-0.00000021
0.24683743	-0.00000015
0.28019384	-0.00000102
0.31355025	-0.00000233
0.34690666	-0.00000130
0.38026307	-0.00000197
0.41361948	-0.00000559
0.44697589	-0.00000124
0.48033230	0.00000896
0.51368871	-0.00000174
0.54704512	0.00000419
0.58040153	0.00000454
0.61375794	0.00000012
0.64711434	-0.00000628
0.68047075	0.00000157
0.71382716	0.00001344
0.74718357	0.00000506
0.78053998	0.00002661
0.81389639	0.00002375
0.84725280	0.00001561
0.88060921	0.00000238
0.91396562	0.00001290
0.94732203	0.00003477
0.98067844	0.00002535
1.01403485	-0.00000449
1.04739126	0.00002611
1.08074767	0.00002199
1.11410408	0.00001301
1.14746049	0.00000829
1.18081690	0.00003430
1.21417331	0.00004698
1.24752972	0.00004288
1.28088613	0.00002517
1.31424254	0.00003880
1.34759894	0.00002950
1.38095535	0.00002329
1.41431176	0.00003958
1.44766817	0.00008630
1.48102458	0.00007749
1.51438099	0.00006299
1.54773740	0.00007207
1.58109381	-0.00000048
1.61445022	0.00011413
1.64780663	0.00007884
1.68116304	0.00007168
1.71451945	0.00002772
1.74787586	-0.00006600
1.78123227	0.00001557
1.81458868	0.00011924
1.84794509	0.00008774
1.88130150	0.00018569
1.91465791	0.00011081
1.94801432	0.00006518
1.98137073	0.00006585
2.01472713	-0.00000915
2.04808354	-0.00004863
2.08143995	0.00010423
2.11479636	0.00007314
2.14815277	0.00015250
2.18150918	0.00012587
2.21486559	0.00016320
2.24822200	0.00019668
2.28157841	0.00008455
2.31493482	0.00002429
2.34829123	0.00013993
2.38164764	0.00011938
2.41500405	0.00019531
2.44836046	0.00015905
2.48171687	0.00008474
2.51507328	0.00008491
2.54842969	0.00022235
2.58178610	0.00021535
2.61514251	0.00015317
2.64849892	0.00009056
2.68185533	0.00018041
2.71521173	0.00035016
2.74856814	0.00024973
2.78192455	0.00004464
2.81528096	-0.00003225
2.84863737	0.00010549
2.88199378	0.00016432
2.91535019	0.00012093
2.94870660	-0.00017661
2.98206301	0.00005875
3.01541942	0.00030130
3.04877583	0.00036570
3.08213224	0.00003318
3.11548865	0.00010971
3.14884506	0.00006813
3.18220147	0.00058951
3.21555788	0.00007908
3.24891429	-0.00002179
3.28227070	0.00003896
3.31562711	0.00002923
3.34898352	0.00010324
3.38233993	0.00010135
3.41569633	0.00015545
3.44905274	-0.00010488
3.48240915	0.00017107
3.51576556	0.00008343
3.54912197	-0.00007034
3.58247838	0.00008319
3.61583479	0.00008873
3.64919120	0.00014796
3.68254761	0.00013322
3.71590402	0.00025118
3.74926043	0.00017074
3.78261684	0.00000127
3.81597325	-0.00026380
3.84932966	-0.00019522
3.88268607	0.00021148
3.91604248	0.00047172
3.94939889	0.00034028
3.98275530	0.00039302
4.01611171	0.00012484
4.04946812	0.00018741
4.08282453	0.00062583
4.11618093	0.00075449
4.14953734	0.00051499
4.18289375	-0.00007263
4.21625016	0.00017462
4.24960657	0.00016113
4.28296298	0.00047492
4.31631939	0.00063191
4.34967580	0.00038558
4.38303221	0.00018310
4.41638862	0.00033130
4.44974503	0.00044995
4.48310144	-0.00006310
4.51645785	0.00060162
4.54981426	0.00044953
4.58317067	0.00034579
4.61652708	0.00044928
4.64988349	0.00045616
4.68323990	0.00035398
4.71659631	0.00030916
4.74995272	-0.00008569
4.78330913	0.00030065
4.81666553	0.00015387
4.85002194	0.00018500
4.88337835	-0.00002364
4.91673476	-0.00007449
4.95009117	0.00009004
4.98344758	-0.00008522
5.01680399	0.00049152
5.05016040	0.00029800
5.08351681	0.00024711
5.11687322	-0.00068172
5.15022963	-0.00052563
5.18358604	0.00022163
5.21694245	-0.00024650
5.25029886	-0.00074654
5.28365527	0.00013051
5.31701168	0.00018771
5.35036809	-0.00045149
5.38372450	-0.00040966
5.41708091	0.00002522
5.45043732	0.00004212
5.48379373	0.00030218
5.51715013	-0.00025367
5.55050654	0.00064330
5.58386295	-0.00003316
5.61721936	0.00032197
5.65057577	0.00058399
5.68393218	0.00049184
5.71728859	0.00005228
5.75064500	0.00047608
5.78400141	0.00071878
5.81735782	0.00015615
5.85071423	0.00012653
5.88407064	-0.00010977
5.91742705	0.00006564
5.95078346	0.00018962
5.98413987	0.00039808
6.01749628	0.00059987
6.05085269	0.00033678
6.08420910	0.00076163
6.11756551	0.00023646
6.15092192	0.00022790
6.18427832	0.00016620
6.21763473	0.00067583
6.25099114	0.00089222
6.28434755	0.00071150
6.31770396	0.00040542
6.35106037	-0.00028348
6.38441678	-0.00010993
6.41777319	0.00005529
6.45112960	0.00073369
6.48448601	-0.00024152
6.51784242	-0.00091285
6.55119883	0.00004918
6.58455524	0.00125779
6.61791165	-0.00079591
6.65126806	-0.00014331
6.68462447	0.00049045
6.71798088	0.00131131
6.75133729	0.00074619
6.78469370	0.00012529
6.81805011	0.00053708
6.85140652	0.00122447
6.88476292	0.00000907
6.91811933	0.00055650
6.95147574	-0.00041655
6.98483215	-0.00017838
7.01818856	0.00028948
7.05154497	0.00048561
7.08490138	0.00110378
7.11825779	0.00110525
7.15161420	0.00041155
7.18497061	-0.00047237
7.21832702	0.00015906
7.25168343	0.00005951
7.28503984	-0.00051720
7.31839625	0.00000387
7.35175266	0.00017548
7.38510907	0.00062744
7.41846548	0.00077930
7.45182189	0.00006677
7.48517830	-0.00012923
7.51853471	0.00060503
7.55189112	0.00040398
7.58524752	-0.00004616
7.61860393	0.00037702
7.65196034	0.00024516
7.68531675	0.00046517
7.71867316	0.00000388
7.75202957	-0.00005176
7.78538598	-0.00027664
7.81874239	-0.00049076
7.85209880	-0.00028708
7.88545521	-0.00013755
7.91881162	-0.00022196
7.95216803	0.00060720
7.98552444	0.00052498
8.01888085	0.00009460
8.05223726	0.00000132
8.08559367	0.00072780
8.11895008	0.00081632
8.15230649	-0.00039749
8.18566290	-0.00088634
8.21901931	-0.00045109
8.25237572	0.00054348
8.28573212	0.00040206
8.31908853	0.00043290
8.35244494	0.00029065
8.38580135	-0.00037987
8.41915776	0.00001811
8.45251417	0.00088400
8.48587058	0.00058415
8.51922699	-0.00002408
8.55258340	0.00044951
8.58593981	0.00075683
8.61929622	0.00033498
8.65265263	-0.00030331
8.68600904	0.00009732
8.71936545	0.00060233
8.75272186	0.00051564
8.78607827	0.00012582
8.81943468	0.00041264
8.85279109	0.00033036
8.88614750	0.00007770
8.91950391	0.00070811
8.95286032	0.00040611
8.98621672	-0.00068935
9.01957313	0.00119618
9.05292954	0.00032356
9.08628595	0.00125511
9.11964236	0.00073953
9.15299877	0.00045741
9.18635518	0.00085335
9.21971159	0.00100992
9.25306800	0.00046958
9.28642441	-0.00019719
9.31978082	-0.00002917
9.35313723	-0.00022584
9.38649364	0.00035081
9.41985005	0.00033967
9.45320646	0.00066295
9.48656287	0.00097369
9.51991928	0.00047216
9.55327569	0.00142705
9.58663210	0.00022103
9.61998851	-0.00055680
9.65334492	-0.00083614
9.68670132	0.00012730
9.72005773	0.00104184
9.75341414	0.00048042
9.78677055	0.00001036
9.82012696	0.00034894
9.85348337	0.00034762
9.88683978	0.00016297
9.92019619	0.00003637
9.95355260	0.00059765
9.98690901	0.00088116
10.02026542	0.00042279
10.05362183	-0.00035496
10.08697824	0.00018611
10.12033465	0.00066379
10.15369106	0.00001453
10.18704747	-0.00004979
10.22040388	0.00063761
10.25376029	0.00086731
10.28711670	-0.00022097
10.32047311	-0.00062646
10.35382951	0.00056564
10.38718592	-0.00033543
10.42054233	-0.00018753
10.45389874	0.00026355
10.48725515	0.00045107
10.52061156	0.00004605
10.55396797	-0.00012127
10.58732438	0.00011111
10.62068079	0.00028128
10.65403720	-0.00015801
10.68739361	0.00079283
10.72075002	0.00108702
10.75410643	0.00032200
10.78746284	0.00001353
10.82081925	0.00034397
10.85417566	0.00042501
10.88753207	0.00060729
10.92088848	0.00005364
10.95424489	-0.00013938
10.98760130	-0.00011709
11.02095771	-0.00081630
11.05431411	-0.00118863
11.08767052	-0.00013003
11.12102693	-0.00000193
11.15438334	0.00007498
11.18773975	-0.00040911
11.22109616	0.00004164
11.25445257	0.00057741
11.28780898	0.00075698
11.32116539	0.00037179
11.35452180	-0.00016402
11.38787821	0.00059039
11.42123462	0.00011142
11.45459103	0.00084580
11.48794744	0.00063158
11.52130385	-0.00039158
11.55466026	-0.00063597
11.58801667	-0.00021272
11.62137308	-0.00000743
11.65472949	-0.00064564
11.68808590	0.00095040
11.72144231	0.00112584
11.75479871	0.00052348
11.78815512	0.00082118
11.82151153	0.00054970
11.85486794	0.00002493
11.88822435	-0.00058583
11.92158076	-0.00049576
11.95493717	0.00076754
11.98829358	0.00084185
12.02164999	0.00125771
12.05500640	0.00097911
12.08836281	0.00034453
12.12171922	0.00007978
12.15507563	0.00042506
12.18843204	0.00040922
12.22178845	0.00041741
12.25514486	0.00060747
12.28850127	-0.00002379
12.32185768	-0.00005612
12.35521409	0.00108615
12.38857050	0.00114989
12.42192691	0.00058601
12.45528331	0.00108076
12.48863972	0.00060841
12.52199613	-0.00061826
12.55535254	0.00001586
12.58870895	0.00169999
12.62206536	0.00101592
12.65542177	-0.00092526
12.68877818	-0.00045262
12.72213459	0.00173035
12.75549100	0.00037519
12.78884741	0.00014673
12.82220382	0.00084763
