# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	-0.00000000
0.04669897	0.00000005
0.08005538	0.00000003
0.11341179	-0.00000007
0.14676820	0.00000021
0.18012461	-0.00000052
0.21348102	-0.00000060
0.24683743	0.00000067
0.28019384	0.00000015
0.31355025	0.00000060
0.34690666	0.00000181
0.38026307	0.00000062
0.41361948	0.00000012
0.44697589	0.00000326
0.48033230	0.00000667
0.51368871	0.00000732
0.54704512	0.00000644
0.58040153	0.00000761
0.61375794	0.00001168
0.64711434	0.00001108
0.68047075	0.00000477
0.71382716	-0.00000223
0.74718357	0.00000541
0.78053998	0.00001552
0.81389639	0.00001144
0.84725280	0.00000593
0.88060921	0.00001405
0.91396562	0.00002795
0.94732203	0.00001200
0.98067844	0.00001715
1.01403485	0.00000751
1.04739126	0.00000864
1.08074767	0.00003747
1.11410408	0.00004698
1.14746049	0.00002180
1.18081690	-0.00000297
1.21417331	0.00001436
1.24752972	-0.00004767
1.28088613	-0.00001816
1.31424254	0.00001882
1.34759894	-0.00000069
1.38095535	0.00001590
1.41431176	0.00001994
1.44766817	-0.00000696
1.48102458	0.00000528
1.51438099	0.00001080
1.54773740	0.00001433
1.58109381	-0.00003051
1.61445022	-0.00003871
1.64780663	0.00002568
1.68116304	0.00002312
1.71451945	0.00002328
1.74787586	-0.00001164
1.78123227	0.00003281
1.81458868	0.00002490
1.84794509	0.00007035
1.88130150	0.00015403
1.91465791	0.00014530
1.94801432	0.00007603
1.98137073	0.00004566
2.01472713	-0.00006508
2.04808354	0.00003988
2.08143995	0.00009120
2.11479636	0.00000842
2.14815277	0.00008608
2.18150918	0.00014257
2.21486559	0.00010575
2.24822200	0.00010142
2.28157841	0.00006664
2.31493482	0.00012929
2.34829123	0.00008906
2.38164764	0.00009751
2.41500405	0.00019533
2.44836046	0.00021016
2.48171687	0.00014550
2.51507328	0.00023387
2.54842969	0.00019366
2.58178610	0.00008299
2.61514251	-0.00001634
2.64849892	0.00001649
2.68185533	0.00006766
2.71521173	0.00018085
2.74856814	0.00016830
2.78192455	-0.00008323
2.81528096	0.00009347
2.84863737	0.00015865
2.88199378	0.00008839
2.91535019	0.00004141
2.94870660	0.00025216
2.98206301	0.00017888
3.01541942	-0.00006505
3.04877583	0.00019592
3.08213224	0.00029091
3.11548865	0.00033514
3.14884506	0.00020835
3.18220147	0.00011571
3.21555788	0.00004170
3.24891429	0.00022851
3.28227070	0.00039746
3.31562711	0.00020646
3.34898352	0.00023919
3.38233993	0.00038953
3.41569633	0.00013880
3.44905274	-0.00017122
3.48240915	-0.00017017
3.51576556	0.00005719
3.54912197	0.00007103
3.58247838	-0.00017486
3.61583479	0.00000007
3.64919120	0.00028985
3.68254761	0.00020357
3.71590402	-0.00008048
3.74926043	-0.00004734
3.78261684	0.00024466
3.81597325	0.00042897
3.84932966	0.00015161
3.88268607	-0.00007782
3.91604248	-0.00000997
3.94939889	0.00013644
3.98275530	0.00024309
4.01611171	0.00010093
4.04946812	0.00002987
4.08282453	0.00003599
4.11618093	0.00009561
4.14953734	0.00017069
4.18289375	0.00034998
4.21625016	0.00012070
4.24960657	0.00004546
4.28296298	0.00015904
4.31631939	0.00018170
4.34967580	-0.00008396
4.38303221	0.00013971
4.41638862	-0.00010605
4.44974503	0.00009329
4.48310144	0.00030222
4.51645785	0.00025246
4.54981426	0.00003070
4.58317067	0.00036033
4.61652708	0.00028527
4.64988349	-0.00031781
4.68323990	0.00046008
4.71659631	-0.00042139
4.74995272	0.00001199
4.78330913	0.00070227
4.81666553	0.00004447
4.85002194	-0.00005349
4.88337835	0.00021380
4.91673476	0.00032800
4.95009117	0.00007031
4.98344758	0.00040247
5.01680399	0.00002300
5.05016040	0.00002538
5.08351681	0.00043040
5.11687322	0.00061360
5.15022963	0.00022789
5.18358604	0.00011811
5.21694245	0.00009831
5.25029886	0.00025594
5.28365527	0.00042679
5.31701168	0.00074119
5.35036809	0.00077522
5.38372450	0.00011433
5.41708091	-0.00041518
5.45043732	0.00034805
5.48379373	-0.00000579
5.51715013	0.00069745
5.55050654	0.00059062
5.58386295	0.00036516
5.61721936	0.00075116
5.65057577	0.00058320
5.68393218	0.00014169
5.71728859	0.00051118
5.75064500	0.00064094
5.78400141	-0.00023836
5.81735782	-0.00032184
5.85071423	0.00010615
5.88407064	-0.00035965
5.91742705	0.00038318
5.95078346	0.00065141
5.98413987	0.00010036
6.01749628	0.00028310
6.05085269	-0.00003274
6.08420910	0.00030661
6.11756551	0.00040133
6.15092192	0.00013902
6.18427832	0.00081364
6.21763473	0.00066778
6.25099114	-0.00022948
6.28434755	0.00006716
6.31770396	0.00041505
6.35106037	-0.00030924
6.38441678	-0.00081559
6.41777319	-0.00038831
6.45112960	0.00004783
6.48448601	0.00026971
6.51784242	0.00021990
6.55119883	0.00007279
6.58455524	0.00015921
6.61791165	-0.00007702
6.65126806	0.00002470
6.68462447	0.00080430
6.71798088	0.00078770
6.75133729	0.00035555
6.78469370	0.00062392
6.81805011	-0.00033747
6.85140652	-0.00032552
6.88476292	-0.00026393
6.91811933	0.00034858
6.95147574	0.00084793
6.98483215	0.00039811
7.01818856	0.00053055
7.05154497	0.00039287
7.08490138	0.00079175
7.11825779	-0.00024205
7.15161420	0.00032601
7.18497061	0.00046004
7.21832702	0.00021312
7.25168343	0.00038128
7.28503984	0.00013144
7.31839625	0.00017016
7.35175266	0.00000389
7.38510907	0.00024512
7.41846548	0.00036994
7.45182189	0.00003939
7.48517830	-0.00026936
7.51853471	0.00032586
7.55189112	0.00078409
7.58524752	0.00046741
7.61860393	0.00055779
7.65196034	0.00073962
7.68531675	0.00048954
7.71867316	0.00026234
7.75202957	-0.00043084
7.78538598	-0.00039350
7.81874239	0.00042963
7.85209880	0.00062920
7.88545521	0.00037032
7.91881162	0.00056391
7.95216803	-0.00012943
7.98552444	-0.00007137
8.01888085	0.00106950
8.05223726	0.00036229
8.08559367	0.00002597
8.11895008	0.00087833
8.15230649	0.00045432
8.18566290	-0.00026517
8.21901931	0.00049716
8.25237572	0.00023999
8.28573212	-0.00050176
8.31908853	0.00033883
8.35244494	0.00033719
8.38580135	-0.00069359
8.41915776	0.00057404
8.45251417	0.00068782
8.48587058	0.00051859
8.51922699	0.00115045
8.55258340	0.00165636
