# Menlo Systems Time Domain Spectrometer
# Program Version 0.9.10 
# Start: 20 ps, Average over 60 waveforms. Date: 2021-10-27
# Time [ps] 	 THz Signal [a.u.]
0.01334256	0.00000000
0.04669897	0.00000000
0.08005538	-0.00000014
0.11341179	-0.00000021
0.14676820	-0.00000014
0.18012461	-0.00000017
0.21348102	-0.00000010
0.24683743	-0.00000009
0.28019384	0.00000129
0.31355025	0.00000138
0.34690666	-0.00000146
0.38026307	-0.00000185
0.41361948	0.00000122
0.44697589	-0.00000006
0.48033230	0.00000323
0.51368871	0.00000274
0.54704512	0.00000333
0.58040153	0.00000347
0.61375794	0.00000098
0.64711434	0.00000119
0.68047075	0.00000499
0.71382716	-0.00001208
0.74718357	0.00000369
0.78053998	-0.00000589
0.81389639	-0.00001005
0.84725280	-0.00001667
0.88060921	-0.00001095
0.91396562	0.00000048
0.94732203	0.00000379
0.98067844	0.00002439
1.01403485	-0.00002457
1.04739126	-0.00001816
1.08074767	0.00000819
1.11410408	0.00002107
1.14746049	0.00000275
1.18081690	0.00000014
1.21417331	0.00001937
1.24752972	-0.00001748
1.28088613	0.00000600
1.31424254	0.00000215
1.34759894	0.00001117
1.38095535	-0.00001387
1.41431176	-0.00002720
1.44766817	-0.00003619
1.48102458	0.00002239
1.51438099	0.00004704
1.54773740	0.00003307
1.58109381	0.00000570
1.61445022	-0.00000222
1.64780663	0.00004744
1.68116304	0.00004101
1.71451945	0.00002822
1.74787586	0.00005838
1.78123227	0.00004798
1.81458868	0.00002876
1.84794509	-0.00001089
1.88130150	-0.00000217
1.91465791	0.00001784
1.94801432	-0.00005699
1.98137073	-0.00008163
2.01472713	-0.00004047
2.04808354	-0.00003072
2.08143995	0.00002020
2.11479636	0.00004179
2.14815277	0.00003388
2.18150918	0.00004913
2.21486559	0.00007914
2.24822200	0.00012086
2.28157841	0.00005368
2.31493482	0.00000152
2.34829123	-0.00001745
2.38164764	0.00003135
2.41500405	0.00000517
2.44836046	0.00003721
2.48171687	0.00010471
2.51507328	0.00014614
2.54842969	0.00012110
2.58178610	0.00005491
2.61514251	-0.00002224
2.64849892	0.00006746
2.68185533	0.00007201
2.71521173	0.00001227
2.74856814	0.00000404
2.78192455	-0.00003416
2.81528096	-0.00008619
2.84863737	-0.00013370
2.88199378	-0.00001176
2.91535019	-0.00022414
2.94870660	-0.00018467
2.98206301	0.00003918
3.01541942	0.00008501
3.04877583	-0.00013001
3.08213224	-0.00004840
3.11548865	-0.00009829
3.14884506	0.00019189
3.18220147	0.00018983
3.21555788	0.00013907
3.24891429	-0.00000680
3.28227070	-0.00012221
3.31562711	-0.00004445
3.34898352	0.00004694
3.38233993	0.00011115
3.41569633	0.00017729
3.44905274	0.00005852
3.48240915	-0.00014280
3.51576556	0.00002207
3.54912197	-0.00001616
3.58247838	0.00032530
3.61583479	0.00037775
3.64919120	0.00004782
3.68254761	0.00017425
3.71590402	-0.00009040
3.74926043	-0.00013350
3.78261684	0.00010011
3.81597325	0.00015603
3.84932966	0.00033102
3.88268607	0.00022990
3.91604248	0.00026846
3.94939889	0.00014310
3.98275530	0.00017144
4.01611171	-0.00001290
4.04946812	0.00008083
4.08282453	0.00012388
4.11618093	0.00030356
4.14953734	0.00013829
4.18289375	0.00002157
4.21625016	-0.00007053
4.24960657	0.00020769
4.28296298	0.00026276
4.31631939	0.00001262
4.34967580	-0.00003789
4.38303221	0.00028743
4.41638862	0.00007237
4.44974503	0.00015616
4.48310144	0.00018416
4.51645785	-0.00001807
4.54981426	0.00027608
4.58317067	0.00082127
4.61652708	0.00042404
4.64988349	0.00006193
4.68323990	0.00009514
4.71659631	0.00011621
4.74995272	0.00023500
4.78330913	0.00037071
4.81666553	0.00022400
4.85002194	0.00031486
4.88337835	0.00061245
4.91673476	0.00059729
4.95009117	0.00050071
4.98344758	0.00011196
5.01680399	0.00021980
5.05016040	-0.00005367
5.08351681	-0.00006912
5.11687322	-0.00003053
5.15022963	0.00008823
5.18358604	-0.00004837
5.21694245	-0.00011359
5.25029886	0.00041605
5.28365527	0.00003827
5.31701168	-0.00061360
5.35036809	-0.00083479
5.38372450	-0.00009171
5.41708091	-0.00006328
5.45043732	0.00014492
5.48379373	0.00050484
5.51715013	0.00040748
5.55050654	0.00061053
5.58386295	0.00035592
5.61721936	-0.00016511
5.65057577	-0.00026377
5.68393218	-0.00033640
5.71728859	-0.00009169
5.75064500	-0.00010865
5.78400141	-0.00023543
5.81735782	0.00010418
5.85071423	-0.00009485
5.88407064	0.00005828
5.91742705	-0.00001832
5.95078346	0.00021228
5.98413987	0.00018547
6.01749628	0.00029741
6.05085269	0.00095733
6.08420910	0.00005651
6.11756551	0.00002561
6.15092192	0.00052011
6.18427832	0.00064205
6.21763473	-0.00030234
6.25099114	0.00004849
6.28434755	0.00043493
6.31770396	-0.00067280
6.35106037	-0.00026479
6.38441678	-0.00005454
6.41777319	-0.00013321
6.45112960	-0.00066960
6.48448601	0.00021930
6.51784242	0.00012940
6.55119883	0.00007729
6.58455524	-0.00004474
6.61791165	0.00013584
6.65126806	0.00010286
6.68462447	-0.00022929
6.71798088	-0.00043479
6.75133729	-0.00016975
6.78469370	-0.00001831
6.81805011	0.00021829
6.85140652	-0.00035771
6.88476292	0.00027165
6.91811933	0.00064600
6.95147574	0.00076879
6.98483215	0.00011531
7.01818856	0.00089106
7.05154497	0.00081239
7.08490138	-0.00023874
7.11825779	0.00012669
